Tf,Tg,Tf_age,Tg_age
YOL028C,YJL031C,Saccharomycetaceae,> Eukaryota
YOL028C,YJL048C,Saccharomycetaceae,Saccharomyces
YOL028C,YJL052W,Saccharomycetaceae,> Eukaryota
YOL028C,YJL088W,Saccharomycetaceae,Ascomycota
YOL028C,YJL100W,Saccharomycetaceae,Dikarya
YOL028C,YJL101C,Saccharomycetaceae,Dikarya
YOL028C,YJR102C,Saccharomycetaceae,Eukaryota
YOL028C,YJR103W,Saccharomycetaceae,Saccharomyces
YOL028C,YJR104C,Saccharomycetaceae,Saccharomyces
YOL028C,YJR105W,Saccharomycetaceae,Saccharomyces
YOL028C,YJR109C,Saccharomycetaceae,Dikarya
YOL028C,YJR110W,Saccharomycetaceae,Dikarya
YOL028C,YJR122W,Saccharomycetaceae,Ascomycota
YOL028C,YKL039W,Saccharomycetaceae,Eukaryota
YOL028C,YKL040C,Saccharomycetaceae,Saccharomycetaceae
YOL028C,YKL071W,Saccharomycetaceae,Fungi
YOL028C,YKL086W,Saccharomycetaceae,Eukaryota
YOL028C,YKL087C,Saccharomycetaceae,Eukaryota
YOL028C,YKL103C,Saccharomycetaceae,Ascomycota
YOL028C,YKL157W,Saccharomycetaceae,Ascomycota
YOL028C,YKR043C,Saccharomycetaceae,Ascomycota
YOL028C,YKR044W,Saccharomycetaceae,Ascomycota
YOL028C,YKR052C,Saccharomycetaceae,Eukaryota
YOL028C,YKR061W,Saccharomycetaceae,Saccharomyceta
YOL028C,YKR071C,Saccharomycetaceae,Ascomycota
YOL028C,YKR098C,Saccharomycetaceae,Saccharomyces
YOL028C,YKR099W,Saccharomycetaceae,Saccharomyces
YOL028C,YLL052C,Saccharomycetaceae,Ascomycota
YOL028C,YLL053C,Saccharomycetaceae,Saccharomycetaceae
YOL028C,YLL054C,Saccharomycetaceae,Saccharomycetaceae
YOL028C,YLL060C,Saccharomycetaceae,Ascomycota
YOL028C,YLR022C,Saccharomycetaceae,Eukaryota
YOL028C,YLR023C,Saccharomycetaceae,Eukaryota
YOL028C,YLR047C,Saccharomycetaceae,Saccharomyceta
YOL028C,YLR048W,Saccharomycetaceae,Ascomycota
YOL028C,YLR049C,Saccharomycetaceae,Ascomycota
YOL028C,YLR074C,Saccharomycetaceae,Fungi
