TF,Target,Mode,PMID,Tf_age,Tg_age
Bach2,Prdm1,Repression,17046816;21296099,Opisthokonta,Opisthokonta
Barx2,Acta2,Unknown,19269978,Eumetazoa,Eumetazoa
Barx2,L1cam,Activation,9122247,Eumetazoa,Rodentia
Barx2,L1cam,Unknown,10781615,Eumetazoa,Vertebrata
Barx2,Pax1,Unknown,19269978,Eumetazoa,Vertebrata
Batf2,Ccl5,Activation,25957166,Mammalia,Eumetazoa
Batf2,Nos2,Activation,25957166,Mammalia,Vertebrata
Batf2,Tnf,Activation,25957166,Mammalia,Vertebrata
Batf3,Irf8,Activation,26054719,Vertebrata,Vertebrata
Bcl11a,Frzb,Activation,22491945,Vertebrata,Opisthokonta
Bcl11b,Ahr,Repression,26231117,Vertebrata,Opisthokonta
Bcl11b,Bcl2l1,Activation,17369851,Vertebrata,Opisthokonta
Bcl11b,Cdkn1b,Activation,17369851,Vertebrata,Opisthokonta
Bcl11b,Foxp3,Unknown,21875956,Vertebrata,Vertebrata
Bcl11b,Gfi1,Unknown,26231117,Vertebrata,Vertebrata
Bcl11b,Il10,Unknown,21875956,Vertebrata,Eumetazoa
Bcl11b,Notch1,Unknown,23015591,Vertebrata,Vertebrata
Bcl11b,Runx3,Repression,20544728,Vertebrata,Vertebrata
Bcl11b,Zbtb7b,Repression,20544728,Vertebrata,Opisthokonta
Bcl3,Ccnd1,Unknown,11713278,Eumetazoa,Rodentia
Bcl3,Ctsl,Unknown,21249144,Eumetazoa,> Eukaryota
Bcl3,Cxcl10,Unknown,21249144,Eumetazoa,Muridae
Bcl3,Fbxo32,Unknown,21249144,Eumetazoa,Amniota
Bcl3,Ifng,Unknown,16790793,Eumetazoa,Eumetazoa
Bcl3,Il23a,Unknown,18375954,Eumetazoa,Vertebrata
Bcl3,Nfkb1,Repression,24459141,Eumetazoa,Vertebrata
Bcl3,Nfkb1,Unknown,15546001;24244019,Eumetazoa,Vertebrata
Bcl3,Nfkb2,Unknown,24244019,Eumetazoa,Vertebrata
Bcl3,Nos1,Unknown,17641044,Eumetazoa,Vertebrata
Bcl3,Runx1,Unknown,21249144,Eumetazoa,Vertebrata
Bcl3,Tnf,Repression,15465827,Eumetazoa,Vertebrata
Bcl3,Tnf,Unknown,22782967,Eumetazoa,Vertebrata
Bcl3,Tnfaip3,Activation,19826422,Eumetazoa,Vertebrata
Bcl3,Tnfrsf12a,Unknown,21249144,Eumetazoa,Vertebrata
Bcl3,Trim63,Unknown,21249144;23251550,Eumetazoa,Vertebrata
Bcl3,Ubc,Unknown,21249144,Eumetazoa,Vertebrata
Bcl6,Batf,Repression,24863065,Opisthokonta,Opisthokonta
Bcl6,Bcl6,Repression,12407182,Opisthokonta,Eumetazoa
Bcl6,Cdkn1a,Repression,24269670;24586582,Opisthokonta,Opisthokonta
Bcl6,Cdkn1b,Repression,24269670,Opisthokonta,Vertebrata
Bcl6,Cdkn2b,Repression,24586582,Opisthokonta,Vertebrata
Bcl6,Csf1r,Activation,15860730,Opisthokonta,Muridae
Bcl6,Gadd45a,Repression,24269670,Opisthokonta,Vertebrata
Bcl6,Gata3,Activation,23053511,Opisthokonta,Vertebrata
Bcl6,Gata3,Repression,23053511,Opisthokonta,Vertebrata
Bcl6,Hdac7,Repression,11929873,Opisthokonta,Vertebrata
Bcl6,Ifng,Unknown,19631565,Opisthokonta,Vertebrata
Bcl6,Il17a,Unknown,19631565,Opisthokonta,Vertebrata
Bcl6,Il9,Repression,24879792,Opisthokonta,Mammalia
Bcl6,Mir21a,Repression,23416424,Opisthokonta,Vertebrata
Bcl6,Myc,Activation,24269670,Opisthokonta,
Bcl6,Prdm1,Repression,22406686,Opisthokonta,Vertebrata
Bcl6,Rorc,Unknown,19631565,Opisthokonta,Eumetazoa
Bcl6,Socs2,Unknown,24892698,Opisthokonta,Eumetazoa
Bcl6,Tbx21,Unknown,19631565,Opisthokonta,Vertebrata
Bcl6b,Rbpj,Unknown,22279058,Mammalia,Opisthokonta
Bhlhe40,Il2ra,Activation,21057086,Opisthokonta,Vertebrata
Bmi1,Cdk1,Unknown,24392139,Opisthokonta,Muridae
Bmi1,Cdkn1a,Repression,19270157,Opisthokonta,> Eukaryota
Bmi1,Cdkn1a,Unknown,18371338,Opisthokonta,Vertebrata
Bmi1,Cdkn2a,Activation,20808772,Opisthokonta,Vertebrata
Bmi1,Cdkn2a,Repression,19270157,Opisthokonta,Muridae
Bmi1,Cdkn2a,Unknown,15964995,Opisthokonta,Muridae
Bmi1,Cdkn2d,Repression,19270157,Opisthokonta,Muridae
Bmi1,Dkk1,Unknown,19351856,Opisthokonta,Eukaryota
Bmi1,E4f1,Activation,21088222,Opisthokonta,Vertebrata
Bmi1,Hmga2,Repression,22351929,Opisthokonta,Vertebrata
Bmi1,Ikzf1,Repression,22185780,Opisthokonta,Vertebrata
Bmi1,Nanog,Activation,25348805,Opisthokonta,Vertebrata
Bmi1,Nanog,Repression,25348805,Opisthokonta,Vertebrata
Bmi1,Nfkb1,Activation,25348805,Opisthokonta,Vertebrata
Bmi1,Pmaip1,Unknown,18411339,Opisthokonta,Vertebrata
Bmi1,Pten,Unknown,22614013,Opisthokonta,Mammalia
Bmp4,Chst11,Activation,25511584,Vertebrata,Mammalia
Bmp6,Mycn,Unknown,16931907,Eukaryota,Eukaryota
Brca1,Akt1,Activation,22665067,Eukaryota,Vertebrata
Brca1,Cdkn1a,Activation,21245169,Eukaryota,Eumetazoa
Brca1,Hmga2,Repression,20007691,Eukaryota,Vertebrata
Brca1,Mad2l1,Activation,15563594,Eukaryota,Vertebrata
Brca1,Mdm2,Activation,9207798,Eukaryota,Opisthokonta
Brca1,Rad51,Activation,10843985,Eukaryota,Opisthokonta
Brca1,Sirt1,Activation,18851829,Eukaryota,Vertebrata
Brca1,Tpt1,Activation,21245169,Eukaryota,Eumetazoa
Brca2,Cdkn1a,Repression,9171369,Eumetazoa,Vertebrata
Btg2,Atoh1,Activation,15056715,Vertebrata,Vertebrata
Btg2,Creb1,Activation,23058912,Vertebrata,Vertebrata
Bub3,Apod,Unknown,20493910,> Eukaryota,Opisthokonta
Cbfa2t3,Epb42,Unknown,19799863,Vertebrata,Opisthokonta
Cbx6,Ccne1,Repression,22214847,Vertebrata,Vertebrata
Ccnd1,Cdkn2a,Activation,23938323,> Eukaryota,> Eukaryota
Cd7,Nfkb1,Activation,18355446,Mammalia,Muridae
Cdx1,Ccl25,Unknown,16517733,Eumetazoa,Vertebrata
Cdx1,Cdx2,Unknown,19725873,Eumetazoa,Rodentia
Cdx1,Mafb,Repression,21098558,Eumetazoa,Vertebrata
Cdx2,Ccl25,Unknown,16517733,Vertebrata,Eukaryota
Cdx2,Cdh17,Activation,20568120,Vertebrata,Rodentia
Cdx2,Cdx1,Unknown,19725873,Vertebrata,Vertebrata
Cdx2,Cdx4,Unknown,20933081,Vertebrata,Eumetazoa
Cdx2,Glb1,Unknown,10677375,Vertebrata,Amniota
Cdx2,Heph,Activation,15825077,Vertebrata,Vertebrata
Cdx2,Kitl,Activation,17466947,Vertebrata,Opisthokonta
Cdx2,Mgam,Unknown,20425755,Vertebrata,Eumetazoa
Cdx2,Nanog,Repression,24059348,Vertebrata,> Eukaryota
Cdx2,Nanog,Unknown,19564890,Vertebrata,Vertebrata
Cdx2,Pou5f1,Repression,17194449;20081188;23741512;24059348,Vertebrata,Vertebrata
Cdx2,Shh,Repression,20199401,Vertebrata,Opisthokonta
Cdx2,Sis,Activation,9679043,Vertebrata,Vertebrata
Cdx2,Xist,Activation,22942124,Vertebrata,> Eukaryota
Cdx4,Hoxa9,Unknown,17183676,Amniota,
Cebpa,Abca3,Unknown,17890326,Vertebrata,Vertebrata
Cebpa,Alb,Unknown,10542249,Vertebrata,> Eukaryota
Cebpa,Aldh3a1,Unknown,10591537,Vertebrata,Vertebrata
Cebpa,Amelx,Activation,16595692,Vertebrata,Vertebrata
Cebpa,Apod,Unknown,20493910,Vertebrata,Mammalia
Cebpa,Bcl2,Activation,18987666;21813505,Vertebrata,Opisthokonta
Cebpa,Cflar,Activation,18987666,Vertebrata,Opisthokonta
Cebpa,Clu,Activation,21464964,Vertebrata,Vertebrata
Cebpa,Crabp2,Repression,20228061,Vertebrata,Eukaryota
Cebpa,Elane,Unknown,8756629,Vertebrata,Opisthokonta
Cebpa,Il12b,Activation,10940886,Vertebrata,Vertebrata
Cebpa,Il4,Activation,21454593,Vertebrata,Vertebrata
Cebpa,Lpin1,Activation,18930917,Vertebrata,Vertebrata
Cebpa,Mstn,Unknown,18334608,Vertebrata,Vertebrata
Cebpa,Nfkb1,Activation,19380823;21813505,Vertebrata,Vertebrata
Cebpa,Nos2,Activation,10198420;16146692,Vertebrata,Vertebrata
Cebpa,Nr1h3,Unknown,12054659,Vertebrata,Vertebrata
Cebpa,Pck1,Activation,12560325,Vertebrata,Vertebrata
Cebpa,Prtn3,Unknown,10677505,Vertebrata,Opisthokonta
Cebpa,Ptgs2,Activation,16146692,Vertebrata,Muridae
Cebpa,Ptgs2,Unknown,20506344,Vertebrata,Eumetazoa
Cebpa,Scgb1a1,Activation,10745028;11193754;12161423,Vertebrata,Eumetazoa
Cebpa,Slc2a4,Activation,12641495,Vertebrata,Rodentia
Cebpa,Spi1,Unknown,12949251,Vertebrata,Vertebrata
Cebpa,Zbtb16,Unknown,19723763,Vertebrata,Vertebrata
Cebpb,Abl1,Unknown,19563810,Eumetazoa,Vertebrata
Cebpb,Abl2,Unknown,19563810,Eumetazoa,Eumetazoa
Cebpb,Alb,Unknown,10542249,Eumetazoa,Eukaryota
Cebpb,Aldh3a1,Unknown,10591537,Eumetazoa,Vertebrata
Cebpb,Atf3,Unknown,16326703,Eumetazoa,Vertebrata
Cebpb,Bcl2,Activation,21813505,Eumetazoa,Eumetazoa
Cebpb,Bglap,Unknown,15713650,Eumetazoa,Opisthokonta
Cebpb,Btg2,Unknown,21292824,Eumetazoa,Vertebrata
Cebpb,Cdkn1a,Unknown,11733516,Eumetazoa,Vertebrata
Cebpb,Cebpa,Activation,19663997,Eumetazoa,Vertebrata
Cebpb,Cebpa,Unknown,16431920,Eumetazoa,Vertebrata
Cebpb,Clu,Activation,21464964,Eumetazoa,Vertebrata
Cebpb,Cr2,Unknown,19487031,Eumetazoa,Eukaryota
Cebpb,Csf1r,Repression,11866474,Eumetazoa,Opisthokonta
Cebpb,Csf3,Activation,21455770,Eumetazoa,Vertebrata
Cebpb,Csf3,Unknown,7513199,Eumetazoa,Vertebrata
Cebpb,Csn2,Unknown,11726661,Eumetazoa,Vertebrata
Cebpb,Cxcr4,Unknown,23966000,Eumetazoa,Rodentia
Cebpb,Cyr61,Unknown,21292824,Eumetazoa,Vertebrata
Cebpb,Fos,Activation,15860545,Eumetazoa,
Cebpb,Fos,Unknown,11278638;18180320,Eumetazoa,Eumetazoa
Cebpb,Foxf1,Activation,16144835,Eumetazoa,Eumetazoa
Cebpb,Gsta2,Activation,15870285,Eumetazoa,Vertebrata
Cebpb,H2-K1,Activation,12184911,Eumetazoa,Amniota
Cebpb,Hgf,Unknown,9315634,Eumetazoa,Vertebrata
Cebpb,Id2,Unknown,15809228,Eumetazoa,Opisthokonta
Cebpb,Il1b,Activation,14670622;16399630;16867259,Eumetazoa,Eumetazoa
Cebpb,Il5ra,Unknown,19231596,Eumetazoa,Vertebrata
Cebpb,Il6,Unknown,1730090,Eumetazoa,Vertebrata
Cebpb,Insr,Unknown,12665574,Eumetazoa,Eumetazoa
Cebpb,Mafb,Unknown,19440205,Eumetazoa,Vertebrata
Cebpb,Myc,Repression,21098707,Eumetazoa,Eukaryota
Cebpb,Pck1,Activation,10224054;12560325,Eumetazoa,Vertebrata
Cebpb,Pparg,Activation,16431920;23178591,Eumetazoa,Opisthokonta
Cebpb,Ppargc1a,Activation,19491401,Eumetazoa,Eumetazoa
Cebpb,Ptgs1,Unknown,9561442,Eumetazoa,Vertebrata
Cebpb,Ptgs2,Activation,10841183;14552705,Eumetazoa,Eumetazoa
Cebpb,Ptgs2,Unknown,10652293;11278846;17996688;18650268;20506344;9561442,Eumetazoa,Eumetazoa
Cebpb,Runx2,Repression,17579210,Eumetazoa,Eumetazoa
Cebpb,Runx2,Unknown,21612856,Eumetazoa,Vertebrata
Cebpb,Scgb1a1,Repression,14500549,Eumetazoa,Vertebrata
Cebpb,Serpine1,Activation,17197388,Eumetazoa,Rodentia
Cebpb,Slc10a1,Unknown,14701722,Eumetazoa,Vertebrata
Cebpb,Snrpn,Unknown,15361068,Eumetazoa,Vertebrata
Cebpb,Socs3,Unknown,21292824,Eumetazoa,Mammalia
Cebpb,Trp53,Unknown,11733516,Eumetazoa,Vertebrata
Cebpb,Ucp1,Activation,15762841;19491401,Eumetazoa,Opisthokonta
Cebpe,Mxd1,Unknown,14576045,Vertebrata,Vertebrata
Cebpg,Cebpa,Repression,7501458,Vertebrata,Opisthokonta
Cebpg,Cebpb,Repression,7501458,Vertebrata,Vertebrata
Cebpg,Il6,Unknown,12177065,Vertebrata,Eumetazoa
Cebpz,Hspa1b,Activation,17251428,Eumetazoa,Eumetazoa
Chd1,Ubtfl1,Activation,26092847,Eumetazoa,Amniota
Chd4,Cd4,Activation,17980631,Eukaryota,Eukaryota
Chd4,Id2,Repression,22302795,Eukaryota,Vertebrata
Chd4,Jun,Repression,22302795,Eukaryota,Eumetazoa
Chd4,Ngfr,Repression,22302795,Eukaryota,Eumetazoa
Chd7,Gli3,Unknown,21532573,Vertebrata,Vertebrata
Chd7,Jag1,Activation,21532573,Vertebrata,Opisthokonta
Chd7,Mycn,Unknown,21532573,Vertebrata,Vertebrata
Chd7,Sox11,Activation,23827709,Vertebrata,Vertebrata
Chd7,Sox4,Activation,23827709,Vertebrata,Eukaryota
Chd8,Brca1,Unknown,16949368,Vertebrata,Eukaryota
Chd8,Myc,Unknown,16949368,Vertebrata,Eukaryota
Chd8,Stat3,Repression,16452319,Vertebrata,Vertebrata
Chd8,Tcf4,Repression,16452319,Vertebrata,Vertebrata
Ciita,Col1a2,Unknown,15247294,Vertebrata,Opisthokonta
Ciita,Nfatc1,Activation,20466061,Vertebrata,Opisthokonta
Ciita,Oscar,Activation,20466061,Vertebrata,Vertebrata
Cited2,Cebpa,Activation,18358466,Vertebrata,Vertebrata
Cited2,Fgf9,Repression,19757380,Vertebrata,Vertebrata
Cited2,Ldhb,Activation,24083546,Vertebrata,Eumetazoa
Cited2,Ldhd,Activation,24083546,Vertebrata,Vertebrata
Cited2,Mmp9,Activation,16619037,Vertebrata,Eukaryota
Cited2,Nr5a1,Activation,17537799,Vertebrata,Vertebrata
Cited2,Pdk2,Activation,24083546,Vertebrata,Eumetazoa
Cited2,Pdk4,Activation,24083546,Vertebrata,Vertebrata
Cited2,Pparg,Activation,18495890,Vertebrata,Vertebrata
Cited2,Smad3,Activation,16619037,Vertebrata,Eumetazoa
Cited2,Wnt4,Activation,19757380,Vertebrata,Opisthokonta
Clock,Bhlhe40,Activation,19032342,> Eukaryota,Opisthokonta
Clock,Bhlhe41,Activation,14672706,> Eukaryota,Opisthokonta
Clock,Bhlhe40,Unknown,16267380,> Eukaryota,Opisthokonta
Clock,Bhlhe41,Unknown,16267380,> Eukaryota,Opisthokonta
Clock,Cry1,Activation,15817303,> Eukaryota,Opisthokonta
Clock,Cry2,Activation,15817303,> Eukaryota,Vertebrata
Clock,Dbp,Unknown,16474407,> Eukaryota,Eumetazoa
Clock,Nr0b2,Activation,20674862,> Eukaryota,Mammalia
Clock,Nampt,Activation,19299583,> Eukaryota,Eumetazoa
Clock,Per1,Activation,12397359;12544823;15147242;15817303,> Eukaryota,Vertebrata
Clock,Per1,Unknown,16267380;21479263,> Eukaryota,Vertebrata
Clock,Per2,Activation,15817303;24051492,> Eukaryota,Vertebrata
Clock,Scnn1a,Unknown,20868778,> Eukaryota,Vertebrata
Clock,Serpine1,Activation,20400680,> Eukaryota,Vertebrata
Clock,Serpine2,Activation,20400680,> Eukaryota,Vertebrata
Clock,Thbd,Unknown,17848551,> Eukaryota,Vertebrata
