,TF,Target,Mode,PMID,TF_age,Tg_age
4066,Pax6,Nr2e1,Activation,24073291,,Eumetazoa
4067,Pax6,Odf2,Activation,25352170,,Eumetazoa
4068,Pax6,Pax2,Repression,11003833,,Eumetazoa
4069,Pax6,Pcsk1,Activation,19034419;24047795,,Eumetazoa
4070,Pax6,Pcsk2,Activation,24047795,,Vertebrata
4071,Pax6,Pdx1,Unknown,12052878,,Eumetazoa
4072,Pax6,Plagl1,Activation,24073291,,
4073,Pax6,Rlbp1,Unknown,21996446,,Eumetazoa
4074,Pax6,Sfrp2,Activation,11222670,,Eumetazoa
4075,Pax6,Shh,Activation,24073291,,Eumetazoa
4076,Pax6,Shroom3,Unknown,20081189,,Eumetazoa
4077,Pax6,Six3,Unknown,11458394;12072567,,Eukaryota
4078,Pax6,Sost,Unknown,23529217,,Vertebrata
4079,Pax6,Sox2,Unknown,18287938,,Eumetazoa
4080,Pax6,Sp8,Activation,24948600,,Eukaryota
4081,Pax6,Tcf4,Activation,9784592,,Eumetazoa
4082,Pax6,Tgfb2,Unknown,19132093,,Eumetazoa
4083,Pax6,Tlr4,Activation,15558475,,Eumetazoa
4084,Pax6,Trim11,Unknown,18628401,,Eumetazoa
4085,Pax6,Trp53,Activation,8798491,,Eumetazoa
4086,Pax6,Vsx2,Activation,24073291,,Eumetazoa
4087,Pax6,Wnt7b,Activation,11222670,,Eumetazoa
4088,Pax7,Ets1,Unknown,23284303,,Eumetazoa
4089,Pax7,Id3,Activation,19458195,,Eumetazoa
4090,Pax7,Myf5,Unknown,18066051,Eumetazoa,Eumetazoa
4091,Pax7,Myod1,Activation,18854138,Eumetazoa,Eukaryota
4092,Pax7,Myod1,Repression,17548510,Eumetazoa,Opisthokonta
4093,Pax7,Nfix,Activation,20178747,Eumetazoa,Eumetazoa
4094,Pax7,Pax3,Unknown,18513381,Eumetazoa,Eumetazoa
4095,Pax8,En2,Unknown,10640701;8625814,Eumetazoa,Eumetazoa
4096,Pax8,Ncam1,Activation,8071351,Eumetazoa,Eumetazoa
4097,Pax8,Ret,Activation,17047028,Eumetazoa,Eumetazoa
4098,Pax8,Trp53,Repression,8521821,Eumetazoa,Eumetazoa
4099,Pax8,Wt1,Activation,8861958;9336463,Eumetazoa,Eumetazoa
4100,Pax9,Bmp4,Activation,21297014,Eumetazoa,Eumetazoa
4101,Pax9,Bmp4,Repression,26136503,Eumetazoa,Eumetazoa
4102,Pbrm1,Il10,Repression,22336179,Eumetazoa,Eumetazoa
4103,Pbx1,Alx1,Activation,20627960,Eumetazoa,Eumetazoa
4104,Pbx1,Cdh1,Activation,21746878,,Eumetazoa
4105,Pbx1,Cdkn2b,Activation,21746878,Eukaryota,Opisthokonta
4106,Pbx1,Pf4,Activation,12609849,Eukaryota,Opisthokonta
4107,Pbx1,Cyp17a1,Activation,7913464,Eukaryota,Eumetazoa
4108,Pbx1,Dcc,Unknown,22748019,Eukaryota,Eumetazoa
4109,Pbx1,Fgf10,Activation,24591256,Eukaryota,Vertebrata
4110,Pbx1,Hoxb1,Unknown,19115252,Eukaryota,Eukaryota
4111,Pbx1,Mc2r,Activation,17082260,Eukaryota,Vertebrata
4112,Pbx1,Myog,Unknown,15870273,Eukaryota,Euk+Bac
4113,Pbx1,Pax3,Activation,18849531,Eukaryota,Mammalia
4114,Pbx1,Pax6,Unknown,17049510,Eukaryota,Eumetazoa
4115,Pbx1,Pbx1,Activation,19115252,Eukaryota,Eumetazoa
4116,Pbx1,Cdkn2b,Repression,21746878,Eukaryota,Eumetazoa
4117,Pbx2,Pf4,Activation,12609849,Eukaryota,Eumetazoa
4118,Pbx2,Pax6,Unknown,17049510,Eukaryota,Eumetazoa
4119,Pbx4,Pgk2,Activation,17875925,Eukaryota,Eumetazoa
4120,Pcbp2,Trp53,Unknown,22198284,Eukaryota,Eumetazoa
4121,Pcgf2,Hif1a,Unknown,21602890,Eukaryota,
4122,Pcgf2,Il17a,Activation,21674483,Eukaryota,Eukaryota
4123,Pcgf2,Il17f,Activation,21674483,Eukaryota,Euk+Bac
4124,Pdx1,Fam3b,Activation,18708173,Eukaryota,Mammalia
4125,Pdx1,Gcg,Unknown,11825903,Eukaryota,
4126,Pdx1,Ins2,Activation,7568086,Vertebrata,Cellular_organisms
4127,Pdx1,Ins2,Unknown,10426567;10567373;20886630,Vertebrata,Opisthokonta
4128,Pdx1,Neurog3,Activation,19487809,Vertebrata,Eumetazoa
4129,Pdx1,Nr5a2,Activation,12972592,Vertebrata,Mammalia
4130,Pdx1,Pax4,Unknown,11825903,Vertebrata,Eumetazoa
4131,Pdx1,Slc2a2,Unknown,19651901,Vertebrata,Vertebrata
4132,Pdx1,St18,Unknown,23236509,Vertebrata,Vertebrata
4133,Pdx1,Tshz1,Unknown,25918232,Vertebrata,Vertebrata
4134,Peg3,Zim1,Activation,25265264,Vertebrata,Vertebrata
4135,Pelp1,Jun,Repression,15456770,Vertebrata,Eumetazoa
4136,Pelp1,Nfkb1,Repression,15456770,Eumetazoa,Eumetazoa
4137,Pelp1,Nr3c1,Repression,15456770,,Eumetazoa
4138,Pelp1,Nr4a1,Repression,15456770,,Euk+Bac
4139,Pelp1,Srf,Repression,15456770,,Eumetazoa
4140,Per1,Arntl,Activation,10848603,,Vertebrata
