From	To
P36057	SRP102
P36059	NNR2
P36060	MCR1
P36062	AVT3
P36064	CMC1
P36066	YKL133C
P36069	PMU1
P36070	RRN3
P36075	CUE2
P36076	CAB3
P36077	SRX1
P36078	HOT13
P36080	RRP14
P36081	PSG1
P36084	MUD2
P36085	STB6
P36086	YKL071W
P36087	YKL070W
P36088	YKL069W
P36090	ANR2
P36091	DCW1
P36093	PHD1
P36095	VPS24
P36096	TUL1
P36097	TTI1
P36100	TFA1
P36101	TCD2
P36102	PAN3
P36104	SWD2
P36105	RPL14A
P36106	BYE1
P36107	AUR1
P36108	DID4
P36110	PRY2
P36112	MIC60
P36113	HEL1
P36114	YKR018C
P36115	IRS4
P36116	VPS51
P36117	ALY1
P36119	RQT4
P36120	DBP7
P36121	RPC37
P36122	BCH2
P36123	SAP190
P36124	SET3
P36125	GMH1
P36126	SPO14
P36130	CAF4
P36131	SPC34
P36132	KAE1
P36135	UTH1
P36136	SHB17
P36137	UIP5
P36142	YKR051W
P36143	GLG1
P36144	UTP30
P36145	TFA2
P36146	LAS1
P36147	PAM17
P36148	GPT2
P36149	BET3
P36150	MET1
P36151	YKR070W
P36152	DRE2
P36154	AIM29
P36155	YKR075C
P36156	ECM4
P36158	YKR078W
P36159	TRZ1
P36160	RPF2
P36161	NUP133
P36162	DAD2
P36163	OMA1
P36164	TVP38
P36165	TGL4
P36166	PXL1
P36168	ESL2
P36169	SKG1
P36170	FLO10
P36172	VBA5
P36173	GEX2
P36224	JNM1
P36421	TYS1
P36516	MRPL3
P36517	MRPL4
P36519	MRPL7
P36520	MRPL10
P36521	MRPL11
P36523	MRPL15
P36525	MRPL24
P36526	MRPL27
P36527	MRPL28
P36528	MRPL17
P36531	MRPL36
P36532	MRPL37
P36533	MRPL39
P36534	MRPL40
P36775	PIM1
P36973	APT2
P37012	PGM2
P37020	GEF1
P37254	ABZ1
P37261	FRM2
P37262	SOL2
P37263	YCR087C-A
P37267	CBP4
P37291	SHM2
P37292	SHM1
P37293	NAT2
P37296	STV1
P37297	STT4
P37298	SDH4
P37299	QCR10
P37302	APE3
P37303	GLY1
P37304	PAM1
P37366	CCL1
P37370	VRP1
P37838	NOP4
P37898	AAP1
P38009	ADE17
P38011	ASC1
P38013	AHP1
P38041	BOI1
P38042	CDC27
P38061	RPL32
P38063	PRS4
P38064	MRPL16
P38065	APL3
P38066	RIB1
P38067	UGA2
P38068	GRX7
P38069	MNN2
P38070	YPK3
P38071	ETR1
P38072	SCO2
P38073	EDS1
P38074	HMT1
P38075	PDX3
P38077	ATP3
P38079	YRO2
P38080	AKL1
P38081	YBR056W
P38082	NRG2
P38084	BAP2
P38085	TAT1
P38086	RDH54
P38087	YMC2
P38088	GRS1
P38089	PTC4
P38090	AGP2
P38109	YBR139W
P38110	TEL1
P38111	MEC1
P38112	MAK5
P38113	ADH5
P38114	TBS1
P38115	ARA1
P38116	ARL1
P38120	MRPS9
P38121	POL12
P38122	ECM31
P38123	SWD3
P38124	FLR1
P38125	DTR1
P38126	PCH2
P38127	RIM2
P38128	SMP1
P38129	TAF5
P38130	KTR3
P38131	KTR4
P38132	MCM7
P38137	PCS60
P38138	ROT2
P38139	LDH1
P38140	ERT1
P38141	THI2
P38142	YBR241C
P38143	GPX2
P38144	ISW1
P38145	RIB5
P38146	YPT10
P38147	CHK1
P38148	PPS1
P38149	DUG2
P38150	YBR284W
P38151	PBP2
P38152	CTP1
P38153	APM3
P38155	PAU24
P38156	MAL31
P38157	MAL33
P38158	MAL32
P38162	MIX23
P38163	SRO77
P38164	SEA4
P38165	RTG3
P38166	SFT2
P38167	ECM21
P38169	BNA4
P38170	BRN1
P38172	MRX3
P38174	MAP2
P38175	MRP21
P38176	AVT5
P38177	YBL086C
P38179	ALG3
P38181	NUP170
P38182	ATG8
P38187	UBP13
P38191	MOH1
P38193	PSY4
P38195	ECM13
P38196	FUI1
P38197	YBL036C
P38198	STU1
P38199	HEK2
P38201	YBL029W
P38202	YBL028C
P38203	LSM2
P38204	RRN10
P38205	NCL1
P38206	RFT1
P38207	APN2
P38208	POP8
P38211	GPI18
P38212	RCR1
P38213	DSF2
P38216	YBR016W
P38217	KAP104
P38218	POA1
P38219	OLA1
P38221	CDS1
P38222	RKM3
P38224	FIG1
P38225	FAT1
P38226	CST26
P38227	QDR3
P38228	TCM62
P38230	ZTA1
P38234	RFS1
P38235	YBR053C
P38236	MUM2
P38237	UBP14
P38238	TRM7
P38239	YBR062C
P38241	ECM2
P38242	ALG14
P38244	PFF1
P38248	ECM33
P38249	RPG1
P38250	IST2
P38251	RFC5
P38254	PBY1
P38255	RXT2
P38256	YBR096W
P38257	MMS4
P38260	FES1
P38261	EXO84
P38262	SIF2
P38263	VID24
P38264	PHO88
P38266	AIM3
P38271	OPY1
P38272	SHE3
P38274	HSL7
P38276	YBR137W
P38278	BMT2
P38279	RTC2
P38281	APD1
P38283	SLI15
P38285	AMN1
P38286	IFA38
P38287	CSH1
P38288	TOS1
P38289	EXO5
P38291	POP7
P38292	PEX32
P38293	UMP1
P38295	EHT1
P38297	FZO1
P38298	YPC1
P38300	MBA1
P38301	GDT1
P38304	MED8
P38306	YBR197C
P38307	DER1
P38308	COS111
P38310	FTH1
P38312	ERV15
P38314	SDS24
P38315	YBP1
P38316	ATG12
P38317	YBR219C
P38318	YBR220C
P38319	TDP1
P38323	MCX1
P38324	SLX1
P38326	SWC5
P38328	ARC40
P38329	VHC1
P38330	YBR238C
P38331	YBR242W
P38332	RRT2
P38333	ENP1
P38334	TRS20
P38335	MTC4
P38336	POP4
P38339	RGD1
P38340	TAE1
P38342	TSC10
P38344	REI1
P38345	SDH8
P38346	BIT2
P38347	EFM2
P38348	HSM3
P38349	UBX7
P38351	PAF1
P38352	SAF1
P38353	SSH1
P38355	YBR287W
P38356	BSD2
P38358	VBA2
P38359	SUL1
P38360	PCA1
P38361	PHO89
P38374	YSY6
P38426	TPS3
P38427	TSL1
P38428	CUE1
P38429	SAP30
P38430	YMR262W
P38431	TIF5
P38439	LEO1
P38523	MGE1
P38555	YPT31
P38590	MSG5
P38604	ERG7
P38615	RIM11
P38616	YGP1
P38620	PRS2
P38622	RCK1
P38623	RCK2
P38624	PRE3
P38625	GUA1
P38626	CBR1
P38627	URA8
P38628	PCM1
P38629	RFC3
P38630	RFC1
P38631	FKS1
P38632	MMS21
P38633	SOH1
P38635	HIS2
P38636	ATX1
P38637	STS1
P38682	GLO3
P38687	SRP68
P38688	SRP72
P38689	PRS3
P38690	YHR033W
P38691	KSP1
P38692	KIC1
P38693	PHO12
P38694	MSC7
P38695	HXT5
P38696	ARP1
P38697	IMD2
P38698	PPX1
P38699	STB5
P38700	APM2
P38701	RPS20
P38702	LEU5
P38703	LAG1
P38704	STP2
P38705	DIA4
P38707	DED81
P38708	YHR020W
P38709	YHL012W
P38710	INM1
P38711	RPS27B
P38712	RRP3
P38713	OSH3
P38714	MSR1
P38715	GRE3
P38716	YHR112C
P38717	SIP3
P38719	DBP8
P38720	GND1
P38721	YHL050C
P38724	ARN2
P38731	ARN1
P38732	EFM1
P38734	MUP3
P38735	VMR1
P38736	GOS1
P38737	ECM29
P38738	OCA5
P38739	WSC4
P38740	YHL026C
P38741	RIM4
P38742	NPR3
P38744	YHL018W
P38745	YHL017W
P38746	YLF2
P38747	OTU2
P38748	ETP1
P38749	YAP3
P38750	YHL008C
P38753	HSE1
P38754	RPL14B
P38755	OSH7
P38756	TCD1
P38757	NEM1
P38758	TDA3
P38759	VPS29
P38760	MIP6
P38763	YHR022C
P38764	RPN1
P38765	YHI9
P38766	RRM3
P38767	ERC1
P38768	PIH1
P38769	NEL1
P38770	BRL1
P38771	RRF1
P38772	BCD1
P38773	DOG2
P38774	DOG1
P38775	YHR045W
P38776	YHK8
P38777	FSH1
P38778	SMF2
P38779	CIC1
P38781	RSC30
P38782	MED6
P38783	FYV4
P38784	VMA22
P38786	RPP1
P38787	PAN5
P38788	SSZ1
P38789	SSF1
P38790	HTD2
P38791	DYS1
P38792	RRP4
P38793	TRM5
P38794	PCL5
P38795	QNS1
P38796	PPE1
P38797	PTC7
P38798	NMD2
P38799	YHR078W
P38800	LAM4
P38801	LRP1
P38803	IPI1
P38804	RTC3
P38805	RPF1
P38806	YNG2
P38809	YHR097C
P38810	SFB3
P38811	TRA1
P38812	GEP4
P38813	BIG1
P38814	SBE22
P38815	YPT35
P38816	TRR2
P38817	GGA2
P38818	CTM1
P38819	ERP5
P38820	UBA4
P38821	APE4
P38822	BZZ1
P38823	DMA1
P38824	COX23
P38825	TOM71
P38826	ORC6
P38827	SET1
P38828	LSM12
P38829	YHR122W
P38830	NDT80
P38835	YHR131C
P38836	ECM14
P38837	NSG1
P38838	WSS1
P38840	ARO9
P38841	YHR138C
P38842	YHR140W
P38843	CHS7
P38844	DSE2
P38845	CRP1
P38848	PEX28
P38849	MTC6
P38850	RTT107
P38851	LAM1
P38852	LIN1
P38853	KEL1
P38854	TDA11
P38856	YAP1801
P38857	MPC2
P38858	SOL3
P38859	DNA2
P38860	MTG2
P38861	NMD3
P38862	ATG7
P38863	SPC97
P38865	CTR2
P38866	FMO1
P38867	YHR177W
P38869	SVP26
P38870	YHR182W
P38873	KOG1
P38874	IKI1
P38875	GPI16
P38876	PTH1
P38877	CTF8
P38878	LNP1
P38879	EGD2
P38880	MDM31
P38883	RIX1
P38884	AIM18
P38885	AIM46
P38886	RPN10
P38887	YHR202W
P38888	MNL1
P38889	SKN7
P38890	SET5
P38891	BAT1
P38892	CRG1
P38893	YHR210C
P38894	FLO5
P38899	YHR218W
P38902	RPB11
P38903	RTS1
P38904	SPP41
P38907	CHL4
P38909	CYC2
P38910	HSP10
P38911	FPR3
P38912	TIF11
P38913	FAD1
P38915	SPT8
P38920	MLH1
P38921	PET8
P38922	HRB1
P38925	SMF1
P38927	REV7
P38928	AXL2
P38929	PMC1
P38930	CKB2
P38931	SSN2
P38932	VPS45
P38934	BFR1
P38953	RAD55
P38954	IPT1
P38958	PET100
P38959	VPS41
P38961	RRP8
P38962	TVP23
P38966	YDR089W
P38967	TAT2
P38968	SEC31
P38969	PNT1
P38970	HAL5
P38971	ALP1
P38972	ADE6
P38985	SRP14
P38986	ASP1
P38987	TEM1
P38988	GGC1
P38989	SMC2
P38990	SAK1
P38991	IPL1
P38992	SUR2
P38993	FET3
P38994	MSS4
P38995	CCC2
P38996	NAB3
P38998	LYS1
P38999	LYS9
P39000	SHC1
P39001	UME6
P39002	FAA3
P39003	HXT6
P39004	HXT7
P39005	KRE9
P39006	PSD1
P39007	STT3
P39008	POP2
P39009	DUN1
P39010	AKR1
P39012	GAA1
P39013	END3
P39014	MET30
P39015	STM1
P39016	MPT5
P39073	SSN3
P39076	CCT2
P39077	CCT3
P39078	CCT4
P39079	CCT6
P39081	PCF11
P39083	RGA1
P39101	CAJ1
P39102	XDJ1
P39104	PIK1
P39105	PLB1
P39106	MNN1
P39107	MNN9
P39108	PEX7
P39109	YCF1
P39110	CIN4
P39111	VMA7
P39112	DSS1
P39113	CAT8
P39515	TIM17
P39516	RPS14B
P39517	DHH1
P39518	FAA2
P39520	IFH1
P39521	FHL1
P39522	ILV3
P39523	YMR124W
P39524	DRS2
P39525	CEM1
P39526	LAA1
P39529	YJL206C
P39531	RCY1
P39533	ACO2
P39535	PHO90
P39538	UBP12
P39540	ELO1
P39542	YJL193W
P39676	YHB1
P39677	MEF2
P39678	MBP1
P39682	PRP39
P39683	NPT1
P39684	PES4
P39685	POM152
P39692	MET10
P39702	VPS8
P39704	ERP2
P39705	NUP60
P39706	SWD1
P39707	SEN34
P39708	GDH3
P39709	SEO1
P39712	FLO9
P39713	BDH2
P39714	BDH1
P39715	ECM1
P39717	GPB2
P39719	FLC2
P39720	OAF1
P39721	AIM2
P39722	GEM1
P39723	SPC72
P39724	BOL3
P39726	GCV3
P39727	ERV46
P39728	YAL037W
P39729	RBG1
P39730	FUN12
P39731	MTW1
P39732	GIP4
P39742	SEC72
P39743	RVS167
P39744	NOC2
P39875	EXO1
P39904	VPS52
P39923	NPR2
P39924	HXT13
P39925	AFG3
P39926	SSO2
P39927	PTI1
P39928	SLN1
P39929	SNF7
P39931	SSP120
P39932	STL1
P39933	PZF1
P39935	TIF4631
P39936	TIF4632
P39937	PAC2
P39938	RPS26A
P39939	RPS26B
P39940	RSP5
P39943	MIG3
P39944	UBP5
P39945	AST2
P39946	PAC1
P39952	OXA1
P39953	YEA6
P39954	SAH1
P39955	SAP1
P39956	RPH1
P39958	GDI1
P39959	YER130C
P39960	BEM2
P39961	TOG1
P39962	YCK3
P39965	AIM10
P39966	PTC2
P39967	UBP9
P39968	VAC8
P39969	BOI2
P39970	ACA1
P39975	RMD6
P39976	DLD3
P39979	HPA3
P39980	SIT1
P39981	AVT2
P39984	HAT2
P39985	POL5
P39986	SPF1
P39987	ECM10
P39988	BUD16
P39990	SNU13
P39992	YEL023C
P39993	GEA2
P39994	PXP1
P39997	NPP2
P39998	EDC3
P40002	MIT1
P40004	YEA4
P40005	GIM4
P40006	IRC22
P40007	NOP16
P40008	FMP52
P40009	YND1
P40010	NUG1
P40011	YER010C
P40012	HEM14
P40013	BIM1
P40014	SPC25
P40015	ISC1
P40016	RPN3
P40017	YAT2
P40018	SMB1
P40019	CHZ1
P40021	ZRG8
P40024	ARB1
P40025	PHM8
P40028	YEN1
P40029	MXR1
P40030	ERG28
P40031	SPO73
P40032	TPA1
P40033	RSM18
P40034	JHD1
P40035	PIC2
P40036	GIP2
P40037	HMF1
P40038	PCL6
P40039	FCY21
P40040	THO1
P40041	VHR2
P40042	RRT13
P40043	RGI1
P40045	TDA2
P40046	VTC1
P40047	ALD5
P40048	PTP3
P40050	MRX1
P40051	ICP55
P40053	AIM9
P40054	SER3
P40055	UTP7
P40056	GET2
P40059	DOT6
P40061	TSC11
P40064	NUP157
P40066	GLE2
P40068	FLO8
P40069	KAP123
P40070	LSM4
P40071	TMN3
P40072	SLX8
P40073	SHO1
P40074	AVT6
P40075	SCS2
P40077	DSE1
P40078	NSA2
P40079	LCP5
P40080	VFA1
P40081	YER134C
P40083	YER137C
P40084	RTR1
P40085	EMP65
P40086	COX15
P40087	DDI1
P40088	FTR1
P40089	LSM5
P40092	SPI1
P40093	YER156C
P40094	COG3
P40095	YER158C
P40096	BUR6
P40098	FMP10
P40099	FAU1
P40100	PUG1
P40105	YRF1-2
P40106	GPP2
P40107	VRG4
P40150	SSB2
P40151	MGS1
P40152	YNL217W
P40154	IES2
P40156	RRG9
P40157	VID27
P40159	YNL208W
P40160	RIO2
P40161	RTT106
P40164	PSY2
P40165	NNR1
P40169	YNL194C
P40185	MMF1
P40186	PCL7
P40187	PIG2
P40188	RGI2
P40202	CCS1
P40204	SMX2
P40206	JLP2
P40207	ERG29
P40208	GID8
P40209	GAT2
P40210	SIP5
P40212	RPL13B
P40215	NDE1
P40217	TIF34
P40260	MEP1
P40302	PRE5
P40303	PRE6
P40308	TGL3
P40309	KHA1
P40310	TOK1
P40312	CYB5
P40314	BTT1
P40317	SOK1
P40318	SSM4
P40319	ELO3
P40325	HUA1
P40327	RPT2
P40328	YTA6
P40335	PEP8
P40339	RFC4
P40340	YTA7
P40341	YTA12
P40343	VPS27
P40344	ATG3
P40345	LRO1
P40347	LTP1
P40348	RFC2
P40350	ALG5
P40351	ALG8
P40352	RAD26
P40353	ATF1
P40354	NTA1
P40355	YJR061W
P40356	PGD1
P40357	SEC9
P40358	JEM1
P40359	PSF2
P40360	ARG2
P40361	YJL070C
P40362	UTP18
P40363	YJL068C
P40364	MPM1
P40366	DLS1
P40367	LAS21
P40368	NUP82
P40395	RIC1
P40413	CCT5
P40414	TPM2
P40416	ATM1
P40422	RPC10
P40433	PFK26
P40434	YIL177C
P40438	VTH1
P40442	CSS1
P40445	YIL166C
P40446	YIL165C
P40447	NIT1
P40450	BNR1
P40451	AIM20
P40452	COA1
P40453	UBP7
P40454	RRD1
P40456	ESL1
P40457	MLP2
P40459	PAN6
P40460	NDC80
P40462	TMA108
P40464	FLX1
P40466	FKH1
P40467	ASG1
P40468	TAO3
P40469	MET18
P40470	RRT14
P40471	AYR1
P40472	SIM1
P40474	QDR2
P40475	QDR1
P40476	PRM5
P40477	NUP159
P40478	POR2
P40479	SDP1
P40480	HOS4
P40481	HPM1
P40482	SEC24
P40483	YIL108W
P40484	MOB1
P40485	SLM1
P40486	SHQ1
P40487	DPH1
P40489	XBP1
P40491	FMC1
P40492	FYV10
P40493	BMT5
P40494	PRK1
P40495	LYS12
P40496	RSM25
P40498	UTP25
P40499	ICE2
P40501	AVT7
P40502	AIM19
P40504	KTR7
P40505	SDS3
P40506	CAB2
P40507	AIR1
P40508	YIL077C
P40509	SEC28
P40510	SER33
P40511	SPO22
P40512	PCI8
P40513	MAM33
P40514	YIL067C
P40515	FIS1
P40516	EFM4
P40517	YRB2
P40518	ARC15
P40522	VHR1
P40525	RPL34B
P40526	DFG10
P40527	NEO1
P40528	SYG1
P40529	AGE2
P40530	PKP1
P40531	GVP36
P40533	TED1
P40535	CST6
P40537	ULP2
P40540	EMC5
P40541	IRR1
P40544	YKE4
P40545	HIS6
P40546	FAF1
P40547	VID28
P40549	MNT3
P40550	PDR11
P40552	TIR3
P40553	DOT5
P40554	URM1
P40555	NAS2
P40556	YIA6
P40557	EPS1
P40558	CFD1
P40559	INP51
P40560	YIL001W
P40561	SGN1
P40562	MPH1
P40563	AIM21
P40564	DJP1
P40565	IST3
P40566	EGH1
P40567	MSL1
P40568	DSN1
P40569	GAT4
P40571	RPR2
P40573	MET28
P40574	YAP5
P40578	MGA2
P40579	YIR035C
P40580	IRC24
P40581	HYR1
P40582	GTT1
P40583	YPS6
P40585	PAU15
P40586	YIR042C
P40693	RLP7
P40825	ALA1
P40850	MKT1
P40851	AXL1
P40856	SAP185
P40857	PHS1
P40858	MRPL49
P40884	IMA5
P40885	HXT9
P40886	HXT8
P40889	YJL225C
P40890	VTH2
P40892	YJL218W
P40893	REE1
P40896	YJL213W
P40897	OPT1
P40917	CIN5
P40955	CHS6
P40956	GTS1
P40957	MAD1
P40958	MAD2
P40959	MVP1
P40960	PAC11
P40961	PHB1
P40962	RTS2
P40963	SAS2
P40965	MSH4
P40968	CDC40
P40970	LCB2
P40971	LYS14
P40985	HUL4
P40986	CDC1
P40987	CIN1
P40988	FET4
P40989	GSC2
P40990	MSS2
P40991	NOP2
P40992	RRN7
P40993	SNM1
P40994	ARF3
P41056	RPL33B
P41057	RPS29A
P41058	RPS29B
P41277	GPP1
P41318	LST8
P41338	ERG10
P41543	OST1
P41544	SYS1
P41546	HAC1
P41695	BUB1
P41696	AZF1
P41697	BUD6
P41733	GAB1
P41734	IAH1
P41735	CAT5
P41800	MMM1
P41805	RPL10
P41806	VMA21
P41807	VMA13
P41808	SMK1
P41809	HKR1
P41810	SEC26
P41811	SEC27
P41812	POP1
P41813	FKH2
P41814	GCD10
P41815	BAP3
P41816	OYE3
P41817	CUP9
P41818	GLC8
P41819	DIM1
P41821	MID1
P41832	BNI1
P41833	IME4
P41834	UFE1
P41835	THI6
P41895	TFG1
P41896	TFG2
P41901	SPR3
P41903	TES1
P41909	PXA1
P41910	MAF1
P41911	GPD2
P41912	SHR5
P41913	GDS1
P41920	YRB1
P41921	GLR1
P41930	SSU1
P41939	IDP2
P41940	PSA1
P41948	MEP2
P42222	ERR3
P42223	SBE2
P42826	XKS1
P42833	HXT14
P42834	MDJ2
P42836	PFA3
P42837	FIG4
P42838	LEM3
P42839	VNX1
P42840	YNL320W
P42841	PFS2
P42842	EMW1
P42844	ZIM17
P42845	STB1
P42846	KRI1
P42847	MRPS18
P42883	THI12
P42884	AAD14
P42900	SLS1
P42933	SPG5
P42934	PMT6
P42935	ELP2
P42936	YGR201C
P42937	YCH1
P42938	TDA10
P42940	CIR1
P42941	SER2
P42942	YGR210C
P42943	CCT7
P42944	GZF3
P42945	UTP10
P42946	PRM10
P42947	YJL107C
P42948	SET4
P42949	PAM16
P42950	GSM1
P42951	LSB6
P43122	QRI7
P43123	QRI1
P43124	NSE4
P43132	BRE2
P43321	SMD3
P43534	THI5
P43535	GCN20
P43537	YFL067W
P43538	YFL066C
P43544	SNO3
P43545	SNZ3
P43546	YFL057C
P43547	AAD6
P43548	AGP3
P43549	AQY3
P43550	DAK2
P43551	ZNF1
P43553	ALR2
P43554	SWP82
P43555	EMP47
P43556	RGD2
P43557	FMP32
P43558	OTU1
P43560	LAM5
P43561	FET5
P43562	YFL040W
P43563	MOB2
P43564	MIL1
P43565	RIM15
P43567	AGX1
P43568	CAK1
P43569	CAF16
P43570	GYP8
P43571	BST1
P43572	EPL1
P43573	BUD27
P43574	GAT1
P43575	PAU5
P43577	GNA1
P43579	IES1
P43581	HXT10
P43582	WWM1
P43583	BLM10
P43585	VTC2
P43586	LOC1
P43587	YPI1
P43588	RPN11
P43589	SAD1
P43590	YFR006W
P43591	YFH7
P43593	UBP6
P43594	MIC19
P43596	IOC3
P43597	YFR016C
P43599	YFR018C
P43601	ATG18
P43602	ROG3
P43603	LSB3
P43605	ECO1
P43606	PTR3
P43607	RRT5
P43609	RSC8
P43610	IRC5
P43611	OSW7
P43612	SAP155
P43613	ERJ5
P43614	KEG1
P43615	IRC6
P43616	DUG1
P43617	YFR045W
P43619	BNA6
P43620	RMD8
P43621	RET2
P43623	IRC7
P43625	YFR057W
P43633	ALK1
P43634	CHA4
P43635	CIT3
P43636	ALG2
P43637	TOS3
P43638	MHP1
P43639	CKB1
P43682	SFT1
P45818	ROK1
P45976	FIP1
P45978	SCD6
P46151	MET12
P46367	ALD4
P46654	RPS0B
P46655	GUS1
P46669	RPA43
P46672	ARC1
P46673	NUP85
P46674	SAC3
P46675	STU2
P46677	TAF1
P46678	BDP1
P46679	STB2
P46680	AIP1
P46681	DLD2
P46682	APL6
P46683	YAR1
P46784	RPS10B
P46943	GUF1
P46944	TRS85
P46946	SAE2
P46947	BUD13
P46948	SKI6
P46949	FYV8
P46950	SNG1
P46951	YPP1
P46954	SIP4
P46955	NCA3
P46956	PHO86
P46957	POL31
P46959	GCD14
P46961	GPI2
P46962	CTK2
P46964	OST2
P46965	SPC1
P46969	RPE1
P46970	NMD5
P46971	PMT4
P46972	IMP2
P46973	HIT1
P46974	RSF2
P46982	MNN5
P46984	GON7
P46985	MNN11
P46988	PFD1
P46989	ATG27
P46990	RPL17B
P46992	YJL171C
P46995	SET2
P46996	YJL163C
P46997	JJJ2
P46999	PIR5
P47001	CIS3
P47002	SSY5
P47005	DAS1
P47006	RPA34
P47008	SFH5
P47011	GLG2
P47013	LCB3
P47014	YJL132W
P47015	AIM23
P47016	NIT2
P47017	LSM1
P47018	MTC1
P47019	ALB1
P47023	TY4A-J
P47024	TY4B-J
P47025	MDV1
P47026	GWT1
P47027	DPB11
P47029	ALY2
P47030	TAX4
P47031	IML2
P47032	PRY1
P47033	PRY3
P47035	NET1
P47037	SMC3
P47039	BNA3
P47040	YHC3
P47041	BIT61
P47042	IKS1
P47043	ZAP1
P47044	YJL055W
P47045	TIM54
P47046	IRC8
P47047	MTR4
P47048	YJL049W
P47049	UBX6
P47050	RTT101
P47051	AIM22
P47052	YJL045W
P47054	NUP192
P47057	SNX4
P47058	TAD2
P47061	VPS53
P47064	APS3
P47068	BBC1
P47072	YJL016W
P47074	MAD3
P47075	VTC4
P47076	RPC17
P47077	NOP9
P47079	CCT8
P47081	COX16
P47082	AVT1
P47083	MPP10
P47084	MRX12
P47085	MHO1
P47087	YJR012C
P47088	GPI14
P47089	TMA22
P47090	YJR015W
P47093	LSM8
P47095	MDE1
P47096	BNA1
P47098	TY1B-JR1
P47100	TY1B-JR2
P47102	GEA1
P47103	CPR7
P47104	RAV1
P47108	URB2
P47110	POL32
P47111	VPS55
P47113	BFA1
P47114	KCH1
P47115	YJR056C
P47116	PTK2
P47117	ARP3
P47118	YAE1
P47119	HAM1
P47120	LIA1
P47122	NPA3
P47123	MOG1
P47124	HOC1
P47125	BNA2
P47127	AIM24
P47128	EAF6
P47130	CSN12
P47131	YJR085C
P47133	EMC2
P47134	BIR1
P47135	JSN1
P47136	BUD4
P47137	YJR096W
P47138	JJJ3
P47139	YJR098C
P47140	AIM25
P47141	RSM26
P47142	VPS25
P47143	ADO1
P47144	ECM27
P47145	LIH1
P47147	YMR1
P47148	PXP2
P47149	NNF1
P47150	RSM7
P47152	YJR115W
P47153	TDA4
P47154	STE24
P47155	ILM1
P47156	JHD2
P47158	IBA57
P47159	YJR124C
P47160	ENT3
P47161	VPS70
P47163	EFM3
P47164	STR2
P47165	XPT1
P47166	SGM1
P47168	TTI2
P47169	MET5
P47170	IML1
P47171	HIR3
P47172	YJR141W
P47173	YJR142W
P47175	HMS2
P47176	BAT2
P47177	YJR149W
P47178	DAN1
P47179	DAN4
P47180	PGU1
P47181	YJR154W
P47182	AAD10
P47183	THI11
P47185	HXT16
P47190	PMT3
P47771	ALD2
P47818	CCC1
P47821	SSN8
P47822	SRB7
P47912	FAA4
P47976	CTH1
P47977	TIS11
P47988	TEA1
P48015	GCV1
P48016	ATH1
P48164	RPS7B
P48231	TCB2
P48234	ENP2
P48236	GPC1
P48237	CCM1
P48239	GTO1
P48240	MTR3
P48353	HLJ1
P48360	ARH1
P48361	ASK10
P48362	HGH1
P48363	PAC10
P48365	GYP7
P48412	UPF3
P48415	SEC16
P48439	OST3
P48445	BPL1
P48510	DSK2
P48524	BUL1
P48525	MSE1
P48526	ISM1
P48527	MSY1
P48558	BXI1
P48559	YPT11
P48561	TRF5
P48562	CLA4
P48563	MON2
P48565	RIM21
P48566	MSB3
P48567	PUS4
P48569	YDL183C
P48570	LYS20
P48581	RAD17
P48582	BRO1
P48589	RPS12
P48606	RBL2
P48743	RFX1
P48813	GNP1
P48836	VMA10
P48837	NUP57
P49017	COQ5
P49018	GPI8
P49089	ASN1
P49090	ASN2
P49095	GCV2
P49166	RPL37A
P49167	RPL38
P49334	TOM22
P49367	LYS4
P49435	APT1
P49573	CTR1
P49626	RPL4B
P49686	NUP42
P49687	NUP145
P49704	PRP31
P49723	RNR4
P49775	HNT2
P49954	NIT3
P49955	HSH155
P49956	CTF18
P49957	TRM9
P49960	PRP24
P50076	DIE2
P50077	CCH1
P50078	TOS2
P50079	HSV2
P50080	AZR1
P50082	AMA1
P50084	BNS1
P50085	PHB2
P50086	NAS6
P50087	MIC26
P50089	YGR237C
P50090	KEL2
P50094	IMD4
P50095	IMD3
P50101	UBP15
P50102	UBP8
P50104	STB4
P50105	TAF4
P50107	GLO1
P50108	MNN10
P50109	PSP2
P50110	SAM37
P50111	ZDS1
P50112	KNH1
P50113	LYS5
P50264	FMS1
P50275	ASE1
P50276	MUP1
P50277	BIO3
P50278	SOL1
P50623	UBC9
P50861	RIB4
P50873	MRK1
P50874	ORC5
P50875	SPT20
P50896	PSP1
P50942	INP52
P50944	AVT4
P50946	OCA1
P50947	PHO23
P51401	RPL9B
P51402	RPL37B
P51533	PDR10
P51534	SHE4
P51601	FOL2
P51862	ROM2
P51979	HFM1
P51996	YPT32
P51998	YML6
P52286	SKP1
P52290	DIA3
P52488	UBA2
P52489	PYK2
P52490	UBC13
P52491	UBC12
P52492	UBC11
P52553	YKE2
P52593	NUP188
P52867	PMT5
P52868	CWC23
P52870	SBH1
P52871	SBH2
P52891	NUP84
P52892	ALT2
P52893	ALT1
P52910	ACS2
P52911	EXG2
P52917	VPS4
P52918	MSN5
P52920	NBP35
P52923	AIF1
P52960	PIP2
P53008	CWH41
P53009	SCY1
P53010	PAN2
P53011	SEH1
P53012	SCS3
P53032	SUT1
P53035	MIG2
P53036	SAP4
P53037	PSD2
P53038	TEL2
P53039	YIP1
P53040	TAF6
P53043	PPT1
P53044	UFD1
P53045	ERG25
