Symbol,GeneID
Plagl1,22634
Irf1,16362
Rasl12,70784
Zhx2,387609
Pfkfb3,170768
Pcsk2,18549
Pthlh,19227
Rps6ka5,73086
Prtn3,19152
Gstk1,76263
Sgca,20391
Hcn4,330953
Slc7a11,26570
Slc19a2,116914
Cdca7,66953
Usf1,22278
Notum,77583
Cebpb,12608
Nr3c1,14815
Zfx,22764
Olig1,50914
C1qtnf3,81799
Ccr2,12772
Gja5,14613
Smarcd1,83797
Dlx6,13396
Krt18,16668
Nodal,18119
Samd11,231004
Ezh2,14056
Gli3,14634
Nck2,17974
Vdr,22337
Ascl2,17173
Tap1,21354
Uncx,22255
Ren1,19701
Smad4,17128
Dusp6,67603
Crp,12944
Slc5a2,246787
Ltc4s,17001
Hoxb5,15413
Mga,29808
Smarca5,93762
Sqle,20775
Foxe1,110805
Hmgcs1,208715
Olfr151,406176
Abhd14a,68644
Thbd,21824
Yy1,22632
Matn1,17180
Sox17,20671
Ilk,16202
Cdh2,12558
Runx3,12399
Edil3,13612
Fgfr4,14186
Hcrtr2,387285
Rbl2,19651
Klf13,50794
Cux1,13047
Smarca4,20586
Phb,18673
Madcam1,17123
Myl1,17901
Pknox1,18771
Gck,103988
Nr4a2,18227
Elf1,13709
Gja4,14612
Pcbp2,18521
Cdk2,12566
Ndn,17984
Thra,21833
Fabp4,11770
Igfbp1,16006
Adcyap1r1,11517
Calr,12317
Nfil3,18030
Apoa5,66113
Dmtf1,23857
Kcnn4,16534
Add1,11518
Btg2,12227
Ly6a,110454
Ep300,328572
Csl,71832
Slc27a5,26459
Fus,233908
Btk,12229
Jun,16476
Lgals9,16859
Adora2b,11541
Klf12,16597
Ifna1,15962
Cdh15,12555
Atf4,11911
Tfam,21780
Pag1,94212
Lhx4,16872
Brca2,12190
Pitrm1,69617
Pbx2,18515
Spdef,30051
Brd4,57261
Acta2,11475
Rig1,109906
Creb3l1,26427
Arid3a,13496
Ccnd2,12444
Nrp1,18186
Zfp281,226442
Nhlh2,18072
Ucp2,22228
Suv39h1,20937
Epor,13857
Fosb,14282
Rfx2,19725
Ogg1,18294
Junb,16477
Ldb1,16825
Clock,12753
Bmi1,12151
Cxcl1,14825
Myb,17863
Cpt1b,12895
Tek,21687
Zfp523,224656
Zic3,22773
Pttg1ip,108705
Dlx2,13392
Kcna5,16493
Cldn2,12738
Il7,16196
Rlbp1,19771
Msx1,17701
F3,14066
Apbb1,11785
Zbtb7a,16969
Dmap1,66233
Cyp2a5,13087
Ilf2,67781
Satb1,20230
Batf3,381319
Foxo4,54601
Fbp2,14120
Hinfp,102423
Esr1,13982
Col5a1,12831
Tslp,53603
Tcf21,21412
Cat,12359
Hgf,15234
Cebpa,12606
Lamb1,16777
Fbln5,23876
Ccnd1,12443
Ptf1a,19213
Kcnmb1,16533
Htatip2,53415
Tcfl5,277353
Pou2f3,18988
Fbxo32,67731
Evpl,14027
Gbx2,14472
Mip,17339
Apoa1,11806
Dsg2,13511
Sp9,381373
Ferd3l,114712
Vegfc,22341
Ptch1,19206
Msr1,20288
Hrk,12123
Gabpb1,14391
Zbtb16,235320
Nmnat2,226518
Grb2,14784
Dctn6,22428
Lcn2,16819
Hand1,15110
Nr2f6,13864
Adra2b,11552
Cxcr4,12767
Rfx3,19726
Tnfrsf18,21936
Sigmar1,18391
Arr3,170735
Zic2,22772
Aldh3a1,11670
Tal2,21350
Calb2,12308
Myoz2,59006
Ide,15925
Ins1,16333
Ets1,23871
Alox8,11688
Pcna,18538
Rfx4,71137
Taf12,66464
Lect2,16841
Cyp2e1,13106
Ptger2,19217
Rbpj,19664
Aes,14797
Il12a,16159
Nkx3-2,12020
Sh2d1a,20400
Retnla,57262
Foxq1,15220
Pth,19226
Setbp1,240427
F11,109821
Pgr,18667
Ptma,19231
Cnr1,12801
Npsr1,319239
Pf4,56744
Dpp6,13483
Foxh1,14106
Apex1,11792
Cbx6,494448
Apaf1,11783
Fasn,14104
Muc1,17829
Cyp11a1,13070
Gja1,14609
Tbx1,21380
Pkp3,56460
Bhmt,12116
Batf,53314
Hbb-y,15135
Mia,12587
Rad51,19361
Bsg,12215
Otp,18420
Gcm2,107889
Casp7,12369
Brinp1,56710
Kdm5a,214899
Atxn7,246103
Zfp64,22722
Myf5,17877
Sox5,20678
Wnt10a,22409
Bcl2,12043
Mapk3,26417
Wisp1,22402
Stk40,74178
Bmp4,12159
Ilf3,16201
Irx5,54352
Cul2,71745
Twist1,22160
Timp1,21857
Fgf15,14170
Prdx3,11757
Prrxl1,107751
Neurod2,18013
Hbp1,73389
Hoxa4,15401
Fth1,14319
