TF,Target,Mode,PMID,Tf_age,Tg_age,Tg_age_int,TF_age_int,age_length,TF_ID,Target_ID
Apex1,Ptgs2,Activation,20498636,cellular organisms,Eukaryota,2,1,1,11792,19225
Apex1,Rela,Activation,17045925,cellular organisms,Eumetazoa,4,1,3,11792,19697
Apex1,Tlr4,Repression,14706822,cellular organisms,Eukaryota,2,1,1,11792,21898
Ar,Ccr2,Activation,19907077,Amniota,Eumetazoa,4,6,2,11835,12772
Ar,Cga,Repression,11518798,Amniota,Amniota,6,6,0,11835,12640
Ar,Fkbp5,Unknown,16210365,Amniota,cellular organisms,1,6,5,11835,14229
Ar,Foxa1,Unknown,12750453,Amniota,Opisthokonta,3,6,3,11835,15375
Ar,Klkb1,Unknown,22695118,Amniota,Eumetazoa,4,6,2,11835,16621
Ar,Nkx3-1,Activation,16697957,Amniota,Eukaryota,2,6,4,11835,18095
Ar,Nkx3-1,Unknown,23786676,Amniota,Eukaryota,2,6,4,11835,18095
Ar,Nr0b1,Repression,12081648,Amniota,Eumetazoa,4,6,2,11835,11614
Ar,Psat1,Unknown,15923603,Amniota,cellular organisms,1,6,5,11835,107272
Ar,Runx2,Repression,19389811,Amniota,Eumetazoa,4,6,2,11835,12393
Ar,Scnn1a,Activation,16172422,Amniota,Eumetazoa,4,6,2,11835,20276
Ar,Sox2,Repression,23326489,Amniota,Eukaryota,2,6,4,11835,20674
Ar,Tnf,Activation,19907077,Amniota,Amniota,6,6,0,11835,21926
Arid3a,Cr2,Unknown,19487031,Eukaryota,Eumetazoa,4,2,2,13496,12902
Arid5b,Sox9,Unknown,24276541,Eukaryota,Eukaryota,2,2,0,71371,20682
Arl6ip5,Parp1,Repression,17462538,Eukaryota,Eukaryota,2,2,0,65106,11545
Arl6ip5,Xrcc1,Activation,17462538,Eukaryota,Eukaryota,2,2,0,65106,22594
Arnt,Atxn3,Unknown,15233999,Opisthokonta,Eukaryota,2,3,1,11863,110616
Arnt,Cyp1a1,Activation,15313166;17023418,Opisthokonta,cellular organisms,1,3,2,11863,13076
Arnt,Cyp1a2,Unknown,22442665,Opisthokonta,cellular organisms,1,3,2,11863,13077
Arnt,Cyp1b1,Unknown,22442665,Opisthokonta,cellular organisms,1,3,2,11863,13078
Arnt,E2f2,Unknown,20573986,Opisthokonta,Eukaryota,2,3,1,11863,242705
Arnt,Sim1,Unknown,14660629,Opisthokonta,Eumetazoa,4,3,1,11863,20464
Arnt,Th,Repression,17457889,Opisthokonta,cellular organisms,1,3,2,11863,21823
Arntl,Bhlhe40,Activation,19032342,Eukaryota,Eukaryota,2,2,0,11865,20893
Arntl,Bhlhe40,Unknown,16267380,Eukaryota,Eukaryota,2,2,0,11865,20893
Arntl,Bhlhe41,Unknown,16267380,Eukaryota,Eumetazoa,4,2,2,11865,79362
Arntl,Ctnnb1,Unknown,7787888,Eukaryota,Eukaryota,2,2,0,11865,12387
Arntl,Cxcl5,Unknown,25064128,Eukaryota,Vertebrata,5,2,3,11865,20311
Arntl,Dbp,Unknown,16474407,Eukaryota,Eumetazoa,4,2,2,11865,13170
Arntl,Maoa,Unknown,18439826,Eukaryota,Eukaryota,2,2,0,11865,17161
Arntl,Nfe2l2,Repression,23547261,Eukaryota,Eumetazoa,4,2,2,11865,18024
Arntl,Per1,Activation,12397359;12544823;15147242,Eukaryota,Eumetazoa,4,2,2,11865,18626
Arntl,Per1,Unknown,16267380;21479263,Eukaryota,Eumetazoa,4,2,2,11865,18626
Arntl,Per2,Activation,24051492,Eukaryota,Eumetazoa,4,2,2,11865,18627
Arntl,Tcf3,Unknown,7787888,Eukaryota,Eumetazoa,4,2,2,11865,21423
Arntl,Vwf,Repression,20658528,Eukaryota,Eumetazoa,4,2,2,11865,22371
Arntl,Wnt10a,Unknown,7787888,Eukaryota,Eumetazoa,4,2,2,11865,22409
Arntl2,Thbd,Unknown,17848551,Eukaryota,Eumetazoa,4,2,2,272322,21824
Arx,Kdm5c,Unknown,23246292,Eumetazoa,Eukaryota,2,4,2,11878,20591
Arx,Shh,Activation,24968361,Eumetazoa,Eumetazoa,4,4,0,11878,20423
Ascl1,Bub1,Activation,15060276,Eumetazoa,Eukaryota,2,4,2,17172,12235
Ascl1,Cdkn2d,Activation,15060276,Eumetazoa,cellular organisms,1,4,3,17172,12581
Ascl1,Dll3,Unknown,19389376,Eumetazoa,Eukaryota,2,4,2,17172,13389
Ascl1,Dll4,Activation,24257627,Eumetazoa,Eukaryota,2,4,2,17172,54485
Ascl1,Hes5,Unknown,22714260,Eumetazoa,Eumetazoa,4,4,0,17172,15208
Ascl1,Pdgfra,Activation,17442807,Eumetazoa,Eukaryota,2,4,2,17172,18595
Ascl1,Phox2a,Activation,9435282,Eumetazoa,Eukaryota,2,4,2,17172,11859
Ascl1,Rnd3,Activation,21435554,Eumetazoa,Eukaryota,2,4,2,17172,74194
Ascl1,Tph2,Activation,19542360,Eumetazoa,cellular organisms,1,4,3,17172,216343
Ash1l,Tgfb1,Unknown,22488473,Eukaryota,Eumetazoa,4,2,2,192195,21803
Ash1l,Timp1,Unknown,22488473,Eukaryota,Eumetazoa,4,2,2,192195,21857
Asxl1,Fabp4,Unknown,21047783,Eumetazoa,Eumetazoa,4,4,0,228790,11770
Atf1,Cebpb,Unknown,14593102,Eumetazoa,Eumetazoa,4,4,0,11908,12608
Atf1,Hspa5,Activation,12871976,Eumetazoa,cellular organisms,1,4,3,11908,14828
Atf1,Nudt1,Unknown,11314867,Eumetazoa,Vertebrata,5,4,1,11908,17766
Atf1,Thbs1,Unknown,9371503,Eumetazoa,Eumetazoa,4,4,0,11908,21825
Atf2,Ccnd1,Activation,10464245;9990041,Eukaryota,Eukaryota,2,2,0,11909,12443
Atf2,Cebpa,Activation,11243868,Eukaryota,Eumetazoa,4,2,2,11909,12606
Atf2,Entpd1,Activation,20178980,Eukaryota,Eukaryota,2,2,0,11909,12495
Atf2,Fgf21,Activation,25055037,Eukaryota,Eumetazoa,4,2,2,11909,56636
Atf2,Fos,Activation,21069729,Eukaryota,Eumetazoa,4,2,2,11909,14281
Atf2,Gabrb3,Activation,8703044,Eukaryota,cellular organisms,1,2,1,11909,14402
Atf2,Il23a,Repression,18802055,Eukaryota,Amniota,6,2,4,11909,83430
Atf2,Ins2,Activation,21278380,Eukaryota,Vertebrata,5,2,3,11909,16334
Atf2,Ins2,Unknown,10909971,Eukaryota,Vertebrata,5,2,3,11909,16334
Atf2,Per1,Unknown,15226430,Eukaryota,Eumetazoa,4,2,2,11909,18626
Atf2,Pparg,Activation,11243868,Eukaryota,Eumetazoa,4,2,2,11909,19016
Atf2,Rela,Activation,21350211,Eukaryota,Eumetazoa,4,2,2,11909,19697
Atf2,Rhob,Activation,11160903,Eukaryota,Eukaryota,2,2,0,11909,11852
Atf2,Serpinb5,Activation,17700520,Eukaryota,cellular organisms,1,2,1,11909,20724
Atf2,Sox9,Unknown,24144697,Eukaryota,Eukaryota,2,2,0,11909,20682
Atf2,Tnf,Unknown,12509451,Eukaryota,Amniota,6,2,4,11909,21926
Atf2,Ucp1,Unknown,15024092,Eukaryota,Eukaryota,2,2,0,11909,22227
Atf3,Atf3,Repression,22989952,Eumetazoa,Eumetazoa,4,4,0,11910,11910
Atf3,Ccnd1,Activation,11375399,Eumetazoa,Eukaryota,2,4,2,11910,12443
Atf3,Gck,Unknown,25074928,Eumetazoa,Eukaryota,2,4,2,11910,103988
Atf3,Il12b,Repression,16688168,Eumetazoa,Amniota,6,4,2,11910,16160
Atf3,Il6,Repression,16688168,Eumetazoa,Amniota,6,4,2,11910,16193
Atf3,Pdx1,Repression,21821004,Eumetazoa,Eumetazoa,4,4,0,11910,18609
Atf3,Sort1,Repression,22466652,Eumetazoa,Opisthokonta,3,4,1,11910,20661
Atf3,Tnfrsf10b,Activation,21927023,Eumetazoa,Amniota,6,4,2,11910,21933
Atf4,Bglap3,Unknown,21866569,Vertebrata,Vertebrata,5,5,0,11911,12095
Atf4,Cdkn1a,Activation,12611881,Vertebrata,Amniota,6,5,1,11911,12575
Atf4,Cdkn1b,Activation,12611881,Vertebrata,Amniota,6,5,1,11911,12576
Atf4,Ddr2,Activation,20564243,Vertebrata,Eukaryota,2,5,3,11911,18214
Atf4,Fgf15,Activation,23205607,Vertebrata,Vertebrata,5,5,0,11911,14170
Atf4,Fgf2,Unknown,22378151,Vertebrata,Eumetazoa,4,5,1,11911,14173
Atf4,Hspa5,Activation,12871976,Vertebrata,cellular organisms,1,5,4,11911,14828
Atf4,Ihh,Unknown,19906842,Vertebrata,Eumetazoa,4,5,1,11911,16147
Atf4,Il6,Activation,23990363,Vertebrata,Amniota,6,5,1,11911,16193
Atf4,Mcm7,Unknown,22739985,Vertebrata,cellular organisms,1,5,4,11911,17220
Atf4,Sphk2,Activation,25808625,Vertebrata,Eukaryota,2,5,3,11911,56632
Atf4,Trib3,Unknown,20592469,Vertebrata,Eukaryota,2,5,3,11911,228775
Atf6,Hspa5,Activation,12871976;16452489,Eukaryota,cellular organisms,1,2,1,226641,14828
Atf6,Wbp1,Activation,21841196,Eukaryota,Amniota,6,2,4,226641,22377
Atm,Cdkn1a,Repression,20368352,Eukaryota,Amniota,6,2,4,11920,12575
Atm,Sp7,Activation,16644862,Eukaryota,Opisthokonta,3,2,1,11920,170574
Atm,Trp53,Activation,14752509,Eukaryota,Vertebrata,5,2,3,11920,22059
Atm,Trp53,Unknown,18171989,Eukaryota,Vertebrata,5,2,3,11920,22059
Atoh1,Barhl1,Activation,16384683,Eumetazoa,Eumetazoa,4,4,0,11921,54422
Atoh1,Hes6,Activation,17826772,Eumetazoa,Eumetazoa,4,4,0,11921,55927
Atoh1,Nr2f6,Activation,16679559,Eumetazoa,Eumetazoa,4,4,0,11921,13864
Atoh1,Pou4f3,Unknown,19908278,Eumetazoa,Opisthokonta,3,4,1,11921,18998
Bach1,Hmox1,Repression,12356737;15743416;15809329;16487038;18426999;19119918;19282658;19439223;20501657;22712528;25391381;25463280,Eumetazoa,Opisthokonta,3,4,1,12013,15368
Bach1,Hmox1,Unknown,17257585;24613086,Eumetazoa,Opisthokonta,3,4,1,12013,15368
Bach1,Mmp1a,Activation,21873975,Eumetazoa,Eukaryota,2,4,2,12013,83995
Bach1,Trp53,Repression,22348305,Eumetazoa,Vertebrata,5,4,1,12013,22059
Bach2,Prdm1,Repression,17046816;21296099,Eumetazoa,Eumetazoa,4,4,0,12014,12142
Barx2,Acta2,Unknown,19269978,Eumetazoa,Eukaryota,2,4,2,12023,11475
Barx2,L1cam,Activation,9122247,Eumetazoa,Eumetazoa,4,4,0,12023,16728
Barx2,L1cam,Unknown,10781615,Eumetazoa,Eumetazoa,4,4,0,12023,16728
Barx2,Pax1,Unknown,19269978,Eumetazoa,Eumetazoa,4,4,0,12023,18503
Batf2,Ccl5,Activation,25957166,Eukaryota,Amniota,6,2,4,74481,20304
Batf2,Nos2,Activation,25957166,Eukaryota,cellular organisms,1,2,1,74481,18126
Batf2,Tnf,Activation,25957166,Eukaryota,Amniota,6,2,4,74481,21926
Batf3,Irf8,Activation,26054719,Vertebrata,Amniota,6,5,1,381319,15900
Bcl11a,Frzb,Activation,22491945,Opisthokonta,Eumetazoa,4,3,1,14025,20378
Bcl11b,Ahr,Repression,26231117,Opisthokonta,Eumetazoa,4,3,1,58208,11622
Bcl11b,Bcl2l1,Activation,17369851,Opisthokonta,Vertebrata,5,3,2,58208,12048
Bcl11b,Cdkn1b,Activation,17369851,Opisthokonta,Amniota,6,3,3,58208,12576
Bcl11b,Foxp3,Unknown,21875956,Opisthokonta,Opisthokonta,3,3,0,58208,20371
Bcl11b,Gfi1,Unknown,26231117,Opisthokonta,Eumetazoa,4,3,1,58208,14581
Bcl11b,Il10,Unknown,21875956,Opisthokonta,Amniota,6,3,3,58208,16153
Bcl11b,Notch1,Unknown,23015591,Opisthokonta,Eukaryota,2,3,1,58208,18128
Bcl11b,Runx3,Repression,20544728,Opisthokonta,Eumetazoa,4,3,1,58208,12399
Bcl11b,Zbtb7b,Repression,20544728,Opisthokonta,Opisthokonta,3,3,0,58208,22724
Bcl3,Ccnd1,Unknown,11713278,cellular organisms,Eukaryota,2,1,1,12051,12443
Bcl3,Ctsl,Unknown,21249144,cellular organisms,Eukaryota,2,1,1,12051,13039
Bcl3,Cxcl10,Unknown,21249144,cellular organisms,Vertebrata,5,1,4,12051,15945
Bcl3,Fbxo32,Unknown,21249144,cellular organisms,Amniota,6,1,5,12051,67731
Bcl3,Ifng,Unknown,16790793,cellular organisms,Amniota,6,1,5,12051,15978
Bcl3,Il23a,Unknown,18375954,cellular organisms,Amniota,6,1,5,12051,83430
Bcl3,Nfkb1,Repression,24459141,cellular organisms,Eukaryota,2,1,1,12051,18033
Bcl3,Nfkb1,Unknown,15546001;24244019,cellular organisms,Eukaryota,2,1,1,12051,18033
Bcl3,Nfkb2,Unknown,24244019,cellular organisms,Eukaryota,2,1,1,12051,18034
Bcl3,Nos1,Unknown,17641044,cellular organisms,cellular organisms,1,1,0,12051,18125
Bcl3,Runx1,Unknown,21249144,cellular organisms,Eumetazoa,4,1,3,12051,12394
Bcl3,Tnf,Repression,15465827,cellular organisms,Amniota,6,1,5,12051,21926
Bcl3,Tnf,Unknown,22782967,cellular organisms,Amniota,6,1,5,12051,21926
Bcl3,Tnfaip3,Activation,19826422,cellular organisms,Eumetazoa,4,1,3,12051,21929
Bcl3,Tnfrsf12a,Unknown,21249144,cellular organisms,Amniota,6,1,5,12051,27279
Bcl3,Trim63,Unknown,21249144;23251550,cellular organisms,Eumetazoa,4,1,3,12051,433766
Bcl3,Ubc,Unknown,21249144,cellular organisms,Eukaryota,2,1,1,12051,22190
Bcl6,Batf,Repression,24863065,Eumetazoa,Vertebrata,5,4,1,12053,53314
Bcl6,Bcl6,Repression,12407182,Eumetazoa,Eumetazoa,4,4,0,12053,12053
Bcl6,Cdkn1a,Repression,24269670;24586582,Eumetazoa,Amniota,6,4,2,12053,12575
Bcl6,Cdkn1b,Repression,24269670,Eumetazoa,Amniota,6,4,2,12053,12576
Bcl6,Cdkn2b,Repression,24586582,Eumetazoa,Eukaryota,2,4,2,12053,12579
Bcl6,Csf1r,Activation,15860730,Eumetazoa,Eukaryota,2,4,2,12053,12978
Bcl6,Gadd45a,Repression,24269670,Eumetazoa,Amniota,6,4,2,12053,13197
Bcl6,Gata3,Activation,23053511,Eumetazoa,Eukaryota,2,4,2,12053,14462
Bcl6,Gata3,Repression,23053511,Eumetazoa,Eukaryota,2,4,2,12053,14462
Bcl6,Hdac7,Repression,11929873,Eumetazoa,cellular organisms,1,4,3,12053,56233
Bcl6,Ifng,Unknown,19631565,Eumetazoa,Amniota,6,4,2,12053,15978
Bcl6,Il17a,Unknown,19631565,Eumetazoa,Amniota,6,4,2,12053,16171
Bcl6,Il9,Repression,24879792,Eumetazoa,Amniota,6,4,2,12053,16198
Bcl6,Myc,Activation,24269670,Eumetazoa,Opisthokonta,3,4,1,12053,17869
Bcl6,Prdm1,Repression,22406686,Eumetazoa,Eumetazoa,4,4,0,12053,12142
Bcl6,Rorc,Unknown,19631565,Eumetazoa,Eumetazoa,4,4,0,12053,19885
Bcl6,Socs2,Unknown,24892698,Eumetazoa,Eukaryota,2,4,2,12053,216233
Bcl6,Tbx21,Unknown,19631565,Eumetazoa,Eumetazoa,4,4,0,12053,57765
Bcl6b,Rbpj,Unknown,22279058,Eumetazoa,Opisthokonta,3,4,1,12029,19664
Bhlhe40,Il2ra,Activation,21057086,Eukaryota,Amniota,6,2,4,20893,16184
Bmi1,Cdk1,Unknown,24392139,Eukaryota,Eukaryota,2,2,0,12151,12534
Bmi1,Cdkn1a,Repression,19270157,Eukaryota,Amniota,6,2,4,12151,12575
Bmi1,Cdkn1a,Unknown,18371338,Eukaryota,Amniota,6,2,4,12151,12575
Bmi1,Cdkn2a,Activation,20808772,Eukaryota,Eukaryota,2,2,0,12151,12578
Bmi1,Cdkn2a,Repression,19270157,Eukaryota,Eukaryota,2,2,0,12151,12578
Bmi1,Cdkn2a,Unknown,15964995,Eukaryota,Eukaryota,2,2,0,12151,12578
Bmi1,Cdkn2d,Repression,19270157,Eukaryota,cellular organisms,1,2,1,12151,12581
Bmi1,Dkk1,Unknown,19351856,Eukaryota,Amniota,6,2,4,12151,13380
Bmi1,E4f1,Activation,21088222,Eukaryota,Eumetazoa,4,2,2,12151,13560
Bmi1,Hmga2,Repression,22351929,Eukaryota,Amniota,6,2,4,12151,15364
Bmi1,Ikzf1,Repression,22185780,Eukaryota,Opisthokonta,3,2,1,12151,22778
Bmi1,Nanog,Activation,25348805,Eukaryota,Eukaryota,2,2,0,12151,71950
Bmi1,Nanog,Repression,25348805,Eukaryota,Eukaryota,2,2,0,12151,71950
Bmi1,Nfkb1,Activation,25348805,Eukaryota,Eukaryota,2,2,0,12151,18033
Bmi1,Pmaip1,Unknown,18411339,Eukaryota,Amniota,6,2,4,12151,58801
Bmi1,Pten,Unknown,22614013,Eukaryota,Eukaryota,2,2,0,12151,19211
Bmp4,Chst11,Activation,25511584,Eumetazoa,Vertebrata,5,4,1,12159,58250
Bmp6,Mycn,Unknown,16931907,Eumetazoa,Eumetazoa,4,4,0,12161,18109
Brca1,Akt1,Activation,22665067,Eukaryota,Eukaryota,2,2,0,12189,11651
Brca1,Cdkn1a,Activation,21245169,Eukaryota,Amniota,6,2,4,12189,12575
Brca1,Hmga2,Repression,20007691,Eukaryota,Amniota,6,2,4,12189,15364
Brca1,Mad2l1,Activation,15563594,Eukaryota,Eukaryota,2,2,0,12189,56150
Brca1,Mdm2,Activation,9207798,Eukaryota,Vertebrata,5,2,3,12189,17246
Brca1,Rad51,Activation,10843985,Eukaryota,cellular organisms,1,2,1,12189,19361
Brca1,Sirt1,Activation,18851829,Eukaryota,cellular organisms,1,2,1,12189,93759
Brca1,Tpt1,Activation,21245169,Eukaryota,Eukaryota,2,2,0,12189,22070
Brca2,Cdkn1a,Repression,9171369,Eukaryota,Amniota,6,2,4,12190,12575
Btg2,Atoh1,Activation,15056715,Eukaryota,Eumetazoa,4,2,2,12227,11921
Btg2,Creb1,Activation,23058912,Eukaryota,Eumetazoa,4,2,2,12227,12912
Bub3,Apod,Unknown,20493910,Eukaryota,cellular organisms,1,2,1,12237,11815
Cbfa2t3,Epb42,Unknown,19799863,Amniota,Amniota,6,6,0,12398,13828
Cbx6,Ccne1,Repression,22214847,Eumetazoa,Eukaryota,2,4,2,494448,12447
Ccnd1,Cdkn2a,Activation,23938323,Eukaryota,Eukaryota,2,2,0,12443,12578
Cd7,Nfkb1,Activation,18355446,Amniota,Eukaryota,2,6,4,12516,18033
Cdx1,Ccl25,Unknown,16517733,Eumetazoa,Amniota,6,4,2,12590,20300
Cdx1,Cdx2,Unknown,19725873,Eumetazoa,Eumetazoa,4,4,0,12590,12591
Cdx1,Mafb,Repression,21098558,Eumetazoa,Vertebrata,5,4,1,12590,16658
Cdx2,Ccl25,Unknown,16517733,Eumetazoa,Amniota,6,4,2,12591,20300
Cdx2,Cdh17,Activation,20568120,Eumetazoa,Eumetazoa,4,4,0,12591,12557
Cdx2,Cdx1,Unknown,19725873,Eumetazoa,Eumetazoa,4,4,0,12591,12590
Cdx2,Cdx4,Unknown,20933081,Eumetazoa,Eumetazoa,4,4,0,12591,12592
Cdx2,Glb1,Unknown,10677375,Eumetazoa,Eukaryota,2,4,2,12591,12091
Cdx2,Heph,Activation,15825077,Eumetazoa,Eukaryota,2,4,2,12591,15203
Cdx2,Kitl,Activation,17466947,Eumetazoa,Amniota,6,4,2,12591,17311
Cdx2,Mgam,Unknown,20425755,Eumetazoa,cellular organisms,1,4,3,12591,232714
Cdx2,Nanog,Repression,24059348,Eumetazoa,Eukaryota,2,4,2,12591,71950
Cdx2,Nanog,Unknown,19564890,Eumetazoa,Eukaryota,2,4,2,12591,71950
Cdx2,Pou5f1,Repression,17194449;20081188;23741512;24059348,Eumetazoa,Eumetazoa,4,4,0,12591,18999
Cdx2,Shh,Repression,20199401,Eumetazoa,Eumetazoa,4,4,0,12591,20423
Cdx2,Sis,Activation,9679043,Eumetazoa,Amniota,6,4,2,12591,69983
Cdx4,Hoxa9,Unknown,17183676,Eumetazoa,Eukaryota,2,4,2,12592,15405
Cebpa,Abca3,Unknown,17890326,Eumetazoa,cellular organisms,1,4,3,12606,27410
Cebpa,Alb,Unknown,10542249,Eumetazoa,Amniota,6,4,2,12606,11657
Cebpa,Aldh3a1,Unknown,10591537,Eumetazoa,cellular organisms,1,4,3,12606,11670
Cebpa,Amelx,Activation,16595692,Eumetazoa,Amniota,6,4,2,12606,11704
Cebpa,Apod,Unknown,20493910,Eumetazoa,cellular organisms,1,4,3,12606,11815
Cebpa,Bcl2,Activation,18987666;21813505,Eumetazoa,Vertebrata,5,4,1,12606,12043
Cebpa,Cflar,Activation,18987666,Eumetazoa,Eumetazoa,4,4,0,12606,12633
Cebpa,Clu,Activation,21464964,Eumetazoa,Amniota,6,4,2,12606,12759
Cebpa,Crabp2,Repression,20228061,Eumetazoa,Eumetazoa,4,4,0,12606,12904
Cebpa,Elane,Unknown,8756629,Eumetazoa,Eumetazoa,4,4,0,12606,50701
Cebpa,Il12b,Activation,10940886,Eumetazoa,Amniota,6,4,2,12606,16160
Cebpa,Il4,Activation,21454593,Eumetazoa,Amniota,6,4,2,12606,16189
Cebpa,Lpin1,Activation,18930917,Eumetazoa,Eukaryota,2,4,2,12606,14245
Cebpa,Mstn,Unknown,18334608,Eumetazoa,Eumetazoa,4,4,0,12606,17700
Cebpa,Nfkb1,Activation,19380823;21813505,Eumetazoa,Eukaryota,2,4,2,12606,18033
Cebpa,Nos2,Activation,10198420;16146692,Eumetazoa,cellular organisms,1,4,3,12606,18126
Cebpa,Nr1h3,Unknown,12054659,Eumetazoa,Eumetazoa,4,4,0,12606,22259
Cebpa,Pck1,Activation,12560325,Eumetazoa,cellular organisms,1,4,3,12606,18534
Cebpa,Prtn3,Unknown,10677505,Eumetazoa,Eumetazoa,4,4,0,12606,19152
Cebpa,Ptgs2,Activation,16146692,Eumetazoa,Eukaryota,2,4,2,12606,19225
Cebpa,Ptgs2,Unknown,20506344,Eumetazoa,Eukaryota,2,4,2,12606,19225
Cebpa,Scgb1a1,Activation,10745028;11193754;12161423,Eumetazoa,Amniota,6,4,2,12606,22287
Cebpa,Slc2a4,Activation,12641495,Eumetazoa,cellular organisms,1,4,3,12606,20528
Cebpa,Spi1,Unknown,12949251,Eumetazoa,Eumetazoa,4,4,0,12606,20375
Cebpa,Zbtb16,Unknown,19723763,Eumetazoa,Vertebrata,5,4,1,12606,235320
Cebpb,Abl1,Unknown,19563810,Eumetazoa,Eukaryota,2,4,2,12608,11350
