Symbol,GeneID
WNT2B,7482
HIST2H4A,8370
AIRE,326
MMP10,4319
BARX2,8538
PFDN4,5203
MAP4,4134
HYOU1,10525
NR1D1,9572
FDFT1,2222
CDKN1C,1028
FGFBP1,9982
ADGRE5,976
YES1,7525
CYP3A7,1551
GLI3,2737
FOXD1,2297
HLA-B,3106
HIVEP2,3097
TP53I3,9540
SHC1,6464
ABCG4,64137
UBE2C,11065
DACT3,147906
RARA,5914
CTSL,1514
TCF7L2,6934
PDCD5,9141
ELAVL1,1994
ZNF335,63925
MAF,4094
ADORA1,134
RUNX2,860
KLK4,9622
PLAU,5328
CDC6,990
PLOD1,5351
SYP,6855
ODC1,4953
FZD1,8321
CA12,771
IL32,9235
ABL2,27
PIAS4,51588
STK39,27347
TP63,8626
NPSR1,387129
B4GALT5,9334
TINF2,26277
NEIL1,79661
NUCB1,4924
HMGB2,3148
CSTA,1475
FCER2,2208
ITGB2,3689
NR1H2,7376
UGT2B7,7364
CCL19,6363
ING5,84289
BCL3,602
CASP2,835
NQO1,1728
FOLH1,2346
LRBA,987
CALD1,800
CXXC5,51523
XAF1,54739
UGT1A10,54575
F13A1,2162
SMAD4,4089
TNFSF13B,10673
S100A2,6273
FAAH,2166
MCM10,55388
IFNA13,3447
RRM2,6241
OGG1,4968
HLA-A,3105
TCFL5,10732
TGFBR1,7046
IRF2BP2,359948
SNRPN,6638
ADH1A,124
PLK1,5347
TAF12,6883
SUMO2,6613
TRIB3,57761
ELN,2006
IVL,3713
HOXA11,3207
KLK2,3817
TAL1,6886
PRDM1,639
SPRR1B,6699
AKR1C3,8644
GFAP,2670
S100A9,6280
TCN2,6948
CPEB1,64506
CTSK,1513
XPC,7508
SLC22A9,114571
KLF16,83855
ABCG8,64241
FUT7,2529
MAP2,4133
ALAS1,211
TSC22D1,8848
ATF2,1386
MEF2B,100271849
PSEN1,5663
USP21,27005
NPAS2,4862
CHRNE,1145
MCM2,4171
CBFB,865
LEP,3952
ATF7,11016
DLL4,54567
EHF,26298
CSNK2A1,1457
YEATS4,8089
KLF14,136259
FAM57A,79850
MCL1,4170
TBX20,57057
UGT1A7,54577
MBD1,4152
TAGLN,6876
CYP2E1,1571
PHB2,11331
LMO4,8543
SERPINC1,462
MEN1,4221
COL4A1,1282
ADAM12,8038
HMOX1,3162
SMAD7,4092
CTCFL,140690
JDP2,122953
GTF2F1,2962
ICAM3,3385
MMP14,4323
E2F5,1875
TAF4,6874
TLR3,7098
ADIPOR2,79602
PADI3,51702
LGALS3,3958
TRIM28,10155
SLC3A1,6519
IMPDH2,3615
LNPEP,4012
FUT3,2525
CASP1,834
HOXC9,3225
UGDH,7358
SIRT3,23410
HDAC4,9759
HAP1,9001
APP,351
CCAR2,57805
HSPD1,3329
TRPV6,55503
CDK6,1021
