,TF,Target,Mode,PMID,TF_age,Tg_age
127,AR,KLK3,Repression,16342680;9316650,Vertebrata,Mammalia
128,AR,KLK3,Unknown,11059779;11238180;11532861;12376473;12539223;12648523;12651911;15368351;15543614;15557561;15640095;17011549;17075604;17094454;17426252;17433535;18780293;18829551;19274665;21308712;21981678;22245379;22473899;23884959;24307657;7514587;9052414;9211894,Vertebrata,Mammalia
129,AR,KLK4,Unknown,12539223,Vertebrata,Mammalia
130,AR,MED1,Unknown,17483314,Vertebrata,Eumetazoa
131,AR,MID1,Unknown,24913494,Vertebrata,Eukaryota
132,AR,MUC1,Repression,21308711,Vertebrata,Euk+Bac
133,AR,MYC,Unknown,24512546,Vertebrata,Eumetazoa
134,AR,NAT1,Activation,17210686,Vertebrata,Euk+Bac
135,AR,NDRG1,Unknown,17075604,Vertebrata,Eukaryota
136,AR,NFKB1,Repression,18386814,Vertebrata,Opisthokonta
137,AR,NKX3-1,Activation,16697957;17303007,Vertebrata,Vertebrata
138,AR,NKX3-1,Unknown,11238180,Vertebrata,Vertebrata
139,AR,NOV,Unknown,23318417,Vertebrata,
140,AR,NRAS,Repression,16281084,Vertebrata,Eukaryota
141,AR,PC,Activation,18497079,Vertebrata,Euk+Bac
142,AR,PSCA,Unknown,23330817,Vertebrata,Vertebrata
143,AR,PEBP1,Unknown,23095933,Vertebrata,Eukaryota
144,AR,PIGR,Unknown,11171058,Vertebrata,Vertebrata
145,AR,PIP,Unknown,21809344,Vertebrata,Mammalia
146,AR,PMEPA1,Unknown,17075604;18703514,Vertebrata,Vertebrata
147,AR,PNRC1,Unknown,10894149,Vertebrata,Vertebrata
148,AR,KLK3,Unknown,24937452,Vertebrata,Mammalia
149,AR,PTEN,Activation,23418309,Vertebrata,Eukaryota
150,AR,PTEN,Unknown,20729295;21532617,Vertebrata,Eukaryota
151,AR,PTGS2,Repression,18386814,Vertebrata,Eukaryota
152,AR,PTPN1,Unknown,22282656,Vertebrata,Eukaryota
153,AR,RELA,Repression,18386814,Vertebrata,Eumetazoa
154,AR,REST,Repression,24163104,Vertebrata,Vertebrata
155,AR,SEPT7,Repression,16281084,Vertebrata,
156,AR,SERPINB5,Repression,16304843,Vertebrata,Cellular_organisms
157,AR,SESN1,Unknown,16751804,Vertebrata,Eukaryota
158,AR,SRD5A3,Unknown,22194926,Vertebrata,Eukaryota
159,AR,STIM1,Unknown,21432868,Vertebrata,Opisthokonta
160,AR,TBP,Unknown,9238003,Vertebrata,Euk_Archaea
161,AR,TCF7L2,Unknown,12799378,Vertebrata,Eumetazoa
162,AR,TGFA,Activation,11556855,Vertebrata,Eumetazoa
163,AR,TH,Activation,16356647,Vertebrata,Eumetazoa
164,AR,TJP1,Activation,18535113,Vertebrata,Opisthokonta
165,AR,TMPRSS2,Activation,20308527;21761340,Vertebrata,Eumetazoa
